OTU ID	2011B.ORA	T2.Vag.B	2003B.ORA	T1.Vag.B	T2.Vag.N	T1.Skin.N	T1.Vag.N	1016M.VAG	1013M.VAG	1003M.VAG	T1.Rec.B	1010M.BMK	1007M.VAG	1003M.ARK	1003M.BMK	2003B.SKN	1015M.VAG	2009B.SKN	1009M.ARK	1007M.ARK	2002B.ORA	1009M.VAG	2001B.ORA	1001M.VAG	2011B.STL	1008M.VAG	2005B.ORA	1010M.ARK	T1.Oral.B	1001M.ARK	2005B.SKN	2007B.SKN	PosMilk.082514	1004M.ARK	PosMilk.081814	2001B.ENVIR	2009B.ORA	1004M.BMK	2008B.SKN	1009M.BMK	2010B.STL	2004B.SKN	1008M.BMK	1008M.ARK	2012B.STL	1006M.BMK	1012M.BMK	1006M.VAG	1015M.BMK	2015B.SKN	2016M.STL	2009B.STL	2015B.STL	2008B.STL	2006B.STL	2007B.STL	2004B.STL	PosSTL.081814	1011M.VAG	2008B.ORA	1010M.VAG	2006B.ORA	1012M.VAG	T1.Rec.N	1005M.VAG	T2.Oral.N	2004B.ORA	1002M.VAG	2010B.ORA	T1.Oral.N	1001M.BMK	1005M.BMK	2007B.ORA	1007M.BMK	2013B.ORA	Blank.Swab.081814	1011M.BMK	Blank.082514	BlankSw.082514	Blank.081814	2020B.ORA	1019M.VAG	1021M.VAG	1022M.ENVIR	1022M.VAG	1023M.VAG	1014M.VAG	1004M.ENVIR	2027B.SKN	2024B.ORA	1017M.VAG	2019B.SKN	1015M.ARK	2024B.SKN	1024M.ARK	2021B.STL	1020M.BMK	1026M.ARK	1027M.VAG	1026M.VAG	2016B.ORA	1023M.ARK	2027B.ORA	2022B.ORA	2023B.ORA	2014B.ORA	2027B.STL	2016B.SKN	2026B.ORA	1027M.ARK	2026B.STL	1027M.BMK	2014B.ENVIR	2018B.ORA	1023M.BMK	1028M.ARK	1022M.ARK	1017M.BMK	2014B.STL	2017B.STL	2022B.STL	2026B.SKN	PosMilk.082614	1019M.BMK	1028M.BMK	2014B.SKN	PosSTL.082614	1026M.BMK	1017M.ARK	1020M.ARK	1022M.BMK	1021M.BMK	2022B.SKN	2021B.ORA	1004M.VAG	1024M.BMK	2006B.ENVIR	2019B.ORA	1020M.VAG	2023B.STL	2019B.STL	2018B.STL	1006M.ENVIR	1014M.ENVIR	2005M.ENVIR	1018M.BMK	BlankSW.082614	2001B.STL	1024M.VAG	2023B.SKN	PSP.Swab.090214	Water.Swab.090214	2033B.ORA	2034B.ORA	1034M.BMK	1035M.BMK	2031B.ORA	2032B.STL	T2.Oral.B	1032M.ARL	1030M.ARL	2033B.STL	1031M.VAG	1033M.VAG	1032M.VAG	2031B.STL	1016M.BMK	2035B.STL	1030M.BMK	2028B.STL	1029M.VAG	2034B.STL	2030B.ORA	2012B.SKN	2031B.SKN	1031M.BMK	1032M.BMK	1031M.ARL	2030B.STL	2013B.ENVIR	2015B.ORA	1013M.ARK	1035M.VAG	1002M.ENVIR	2024B.STL	2002B.STL	1013M.BMK	BlankH2O.090514	1014M.ARK	1021M.ARK	1007M.ENVIR	2011B.SKN	1016M.ARK	1019M.ARK	2001B.SKN	2002B.SKN	1012M.ARK	1018M.ARK	T2.Skin.N	2005B.STL	1018M.VAG	2021B.SKN	1014M.BMK	2028B.SKN	2013B.SKN	2028B.ENVIR	2013B.STL	2018B.SKN	T2.Skin.b	1011M.ARK	2020B.SKN	1002M.ARK	1033M.BMK	2010B.SKN	T2.Rec.B	T1.Skin.b	2017B.ORA	2012B.ORA	2003B.STL	PosSTL.082514	1002M.BMK	1052M.BMK	1044M.BMK	1050M.ARK	FungMock.100314	2044B.SKN	1048M.ARK	2053B.SKN	1054M.ARK	2053B.ORA	2048B.SKN	2047B.STL	2045B.STL	1049M.VAG	1052M.VAG	1046M.VAG	1053M.VAG	2049B.STL	1047M.VAG	2049B.ORA	2046B.ORA	2044B.ORA	2054B.ORA	2048B.ORA	1049M.BMK	2045B.ORA	2052B.ORA	2050B.STL	BactMock.100314	2046B.STL	2047B.SKN	1047M.ARK	2055B.SKN	2054B.ENVIR	1054M.BMK	1053M.BMK	1049M.ARK	PosMilk.100314	1046M.BMK	2054B.SKN	1053M.ARK	2050B.SKN	2053B.STL	1047M.BMK	1045M.ARK	2047B.ORA	1048M.BMK	1050M.BMK	1046M.ARK	2043B.SKN	1055M.BMK	1045M.BMK	2048B.STL	1047M.ENVIR	2052B.STL	2049B.SKN	1054M.VAG	2044B.STL	1044M.VAG	1048M.VAG	1050M.VAG	2055B.ORA	2050B.ORA	1045M.VAG	1055M.VAG	2055B.STL	1030M.VAG	2042B.ORA	2041B.ORA	1043M.BMK	1043M.ARK	1037M.BMK	2042B.STL	2041B.STL	2029B.REC	2032B.ORA	1028M.VAG	2036B.ORA	PosMilk.100214	1029M.ARK	PosMilk.090514	1037M.VAG	1029M.BMK	2037B.ORA	2035B.ORA	2028B.ORA	1036M.VAG	1042M.BMK	1036M.BMK	1041M.BMK	2029B.ORA	2043B.ORA	1042M.ARK	PosMilk.093014	1044M.ARK	1041M.VAG	2046B.ENVIR	2032B.SKN	1030M.ENVIR	2043B.STL	1043M.VAG	2045B.SKN	1042M.VAG	1001M.ENVIR	2052B.SKN	2041B.SKN	T2.Rec.N	2029B.SKN	2006B.SKN	1037M.ENVIR	1052M.ARK	2020B.ENVIR	BlankSW.093014	1006M.ARK	2036B.STL	1034M.VAG	2035B.SKN	PosSTL.093014	1037M.ARK	AllPrep.EB	BlankSw.100214	AllPrep.H2O	PosSTL.100314	2037B.SKN	1005M.ARK	PosSTL.090514	1035M.ARL	2046B.SKN	2042B.SKN	2003M.ENVIR	BlankSwab.090514	2033B.SKN	PosSTL.100214	Blank.100214	2017B.SKN	1033M.ARL	Blank.093014	1041M.ARK	1055M.ARK	1034M.ARL	1020M.ENVIR	BlankSw.100314	2036B.ENVIR	AllPrep.RW1	Blank.100314	2054B.STL	2034B.SKN	KEGG_Pathways
Cellular Processes	470152	310706	1297676	629011	274471	990045	815118	58298	470005	816572	2888348	400070	511087	776574	1100758	613253	594122	457360	959918	479940	441154	575800	1032193	836679	1356653	401012	811472	428577	2506203	1018615	822627	976611	2353037	755366	3067695	1949105	444130	552734	484971	473597	2634959	1359214	738545	909395	2721308	388692	534522	1079409	723143	780057	1231739	2200996	1072741	3876590	2592274	747106	1866551	1628027	252270	436111	351581	718658	746292	4590494	1681012	767268	266545	975636	769026	795589	1182209	652713	365823	314787	3157551	17541	1149430	2949	13131	5915	1449584	4530974	1027497	1056863	1111854	2337702	775846	4455002	1578051	1271683	2634079	1042161	859454	2810567	8747791	2712479	955102	1431830	1255394	675506	1055692	1323522	2336823	4088924	837323	1523426	3004286	1403132	461727	1417354	3541841	804986	854972	852454	933439	1218208	1789171	451240	8645872	1203187	5233594	1151624	2132691	668671	665779	633760	5274145	767667	435313	1271988	948107	767978	1972465	924832	2612719	3141446	1437194	409935	2070595	1726573	7511960	1025503	2242513	1031155	1602265	910489	47731	5474897	207461	2398798	73543	77355	2248840	2129430	1852955	1121509	1568888	5735356	1988073	4607288	6276451	5146306	2076143	1800450	1756105	4554341	1602766	6872074	1314560	1387547	910935	8494160	1455653	2379914	1162757	2214187	1926639	1565921	2999078	1901091	1610300	1669974	1808858	1911674	9647647	2563626	2068367	2460802	2316041	1832572	1267250	3584490	2867057	1873636	1672740	2010561	3946410	2272503	2456741	1988734	1913463	1657182	2517404	1133880	2374295	3280093	1601531	1994240	2362709	2219776	1715073	5565610	684121	2610289	2534710	1686726	2524848	1555802	4919102	1821902	2120312	507668	1395108	2066938	261817	2169250	3407604	1309586	1242795	824083	2777091	1519166	4518048	1241643	1537571	2181595	1187342	3423606	1599549	1739357	1721251	696711	774252	620268	461480	1250189	1239967	7419926	2945235	3153516	1507497	1013305	823805	5185914	938344	561274	1166773	7882386	769641	695517	1811144	1451419	2635240	705346	1701532	1055525	530269	797683	2508003	847364	893343	484999	6874826	775293	3093810	1600314	120661	1504468	332489	572228	467440	929320	910586	82730	120779	7813648	2433473	2890732	5353242	1985586	5590142	2758137	28634629	3430543	5260897	1367000	2693833	3181753	15120307	1017078	3207533	703156	456594	3007743	2149812	342876	1260053	1756523	1639165	1550576	4091894	4302392	2731579	11556409	5218958	1123428	7406232	6757139	6381110	6267424	1682533	5403992	2706982	3157899	5456178	4107929	1295228	4103766	361110	6093131	6118575	828089	4763727	3396400	2541486	5630255	7829764	5392631	6508389	4951026	8206031	5378186	5452003	3301845	614236	2525083	4613623	8313608	4573595	3908733	7728578	4486215	6783426	167790	374926	4102644	7015722	5695692	4753489	2536223	579314	186330	571	693	0	15	2	Cellular Processes
Environmental Information Processing	7019743	3298418	18989526	5401808	2678756	8335708	7023152	679407	5094940	8877892	14887181	4915571	7278905	6742630	11955063	4869408	8669940	5353267	10761548	4978740	6869851	6847693	13143896	9209282	9967085	3806130	10889594	4118016	21947770	8281005	9560341	8328254	8054005	6772825	10631462	8181754	7186921	6217111	4720615	5574254	14249799	9745201	6113410	8741062	16962835	4082045	7670923	7570705	6800467	4733746	10454136	15341402	8056236	29542459	12129972	7548736	13555301	12723347	2176674	6085712	2699275	9179529	7179299	22368137	11042950	7656311	3808496	10540912	8025169	7169484	8532470	7458053	3961921	3908629	16034745	67564	10412324	17424	40307	28692	18672666	36059887	15448361	7654990	16310217	19107530	10621966	23780612	12252020	20801863	16346380	12063587	10059537	17399626	37921792	14993968	11534424	14935728	13888931	9232272	16876829	11974875	17103439	41666417	12365648	20696277	23074549	12876717	6497941	7360743	24138525	6799629	6992463	4640159	10093163	13981982	17053636	5479391	74239977	12303391	33437016	10563209	8634794	7579769	7209328	6440182	40897927	4273532	5006972	8281946	7481138	5914238	14122297	15669744	10730328	14569570	7032494	6177151	26049527	14526327	54937909	5337069	8869013	8433800	7318860	5390340	263667	20622279	1185926	8907215	282807	292200	32387291	29922397	13999562	11853700	27026009	42695955	19459210	38970052	60178642	29276521	21399889	19458401	14742684	30198509	7968699	65461615	16802893	14870304	8183962	64483983	23436047	9317016	8833858	11847380	10227067	14302215	23772137	7803437	6484175	6738246	7005909	7436241	57401449	16515121	7829092	8938820	9642155	7684067	5144156	14197112	10437323	7411568	7549130	8019906	16662802	8535657	9860875	7974605	7367964	7512810	10059472	4891467	9051255	12497137	6280051	7441986	9458755	8512843	6230076	21809612	7913042	9278370	9961834	7106348	9473461	5841866	19241630	7689010	8408397	4533426	12589930	15638596	2534846	8305957	26010279	17047555	11449965	13362956	21719771	10643653	31238625	11995030	14675053	17304353	11020819	24762304	15337802	18394335	23103719	11528858	11555947	10662797	6830546	16008911	20444234	43736883	17490678	17511555	14027614	11096755	6864443	33684962	11396894	6149902	11256413	28866330	10791126	5553237	12943843	15472084	15447366	5314160	7880640	16830405	4076166	10309312	10248881	8890851	6702941	4990066	20632389	5215036	19854854	17610011	1751589	5549868	4623332	7971589	6338226	15840058	13612975	1040587	641255	45392122	31109744	42434322	54689148	18617830	40582615	25130657	167387060	20857711	34103188	22669882	12927582	36581941	52268161	9344430	10905200	9909201	4526636	29533494	34760030	5847221	18461350	15584618	22189965	17626893	55064378	17135966	15069991	40763225	19552507	14917060	28047889	27939859	23900790	35799469	14887443	20112949	20393856	12725980	20500390	18806614	5331295	16394069	2100259	22344095	22177367	3712956	17547759	12902164	19598787	21198850	29503338	21272373	25043661	18541400	30399847	20340510	22311379	13139334	2315480	9647688	16580957	31327732	17495983	16213804	28809075	16867132	29881483	621738	1283634	14993399	26583666	21445171	17870135	9989706	2869002	701776	2401	3991	29	171	7	Environmental Information Processing
Genetic Information Processing	9222450	5005667	24982210	7383003	4289655	11197824	9676293	1251391	8666404	15928063	22732408	6107099	11471194	9824351	16242819	6894653	14080732	7006223	14030973	7659808	8949822	10841545	14830835	15254765	9298649	6385548	15016722	5984229	35569120	11975505	12633123	12024096	9098217	8847650	12255286	7147426	9242103	7106541	6403800	7355224	24453213	11818640	8213978	11964221	20717234	6078271	10449046	12302513	8579946	6105353	16028694	27996521	11511517	33503767	13263562	9538377	25589894	7724618	3939799	8125206	5803607	13314947	10414001	29039906	18829098	10829081	5152911	15310855	13462317	11359010	9619381	10138617	6189529	5559601	15479467	64986	14770390	16317	40780	21024	26082935	60915366	44036931	10713020	23129369	33787479	15462039	25950307	16487844	25943628	29983627	16125100	13659892	22684204	37309816	23090987	16232832	20691604	22953858	13516352	21204394	18318824	35539102	65662250	16226365	29052362	25125489	18752282	8136744	8617903	35357511	11042845	8840359	5864778	15523375	19954601	25543381	7264134	91191033	16809286	47818524	15302255	11294269	10272697	9862494	8780072	24243794	4723880	6880031	10176725	10181408	7340067	19060524	19456200	9531004	14573179	7062438	7602216	34233298	17032184	37714962	7760434	9211431	10408836	7419091	6557121	332433	17460672	2205949	7497894	216752	212753	41006923	38644856	17708413	13911138	33225876	61724407	27126450	52570626	85119635	49559756	32649421	27658733	26510941	35648466	8657333	93430429	23974232	20632761	13949576	76357180	29220165	7584776	11810177	11930013	9540782	20461109	29931359	6857666	6070056	6070039	6197305	6504908	65604530	11088329	6744930	6933161	8893243	7337516	4777940	12997257	10169099	6898777	8330361	7656711	15064397	7101527	9002348	7184937	6343925	8734524	9900500	5488243	8071383	9864352	5611487	6162348	9794452	7102167	5848711	21311280	9257071	8353666	8775276	6322161	7857239	5041692	16613740	6328243	7900085	6241042	15974780	20756630	5581018	6258059	42299273	21929224	17095801	17420192	30865171	15535052	50016504	19588610	23846784	30086976	18316207	39001723	23243593	26137590	32578715	13739002	15077493	13061467	8630905	23296034	25797056	61137654	18187090	23240578	19250360	17147430	8078928	19213783	16163172	7764035	16483435	33329688	14896367	7149390	17024998	20280015	20247163	7839020	7746271	20900249	4678163	12830484	8679133	12007277	7568457	5817325	32000382	7018448	21965026	27326706	2575567	4874490	6800204	11728437	9346189	19368293	17580365	2140076	866071	35516672	48669108	55085167	83897886	23259683	53597496	34688725	214074781	28089918	52461018	27833715	19202460	57957692	61129291	13103960	12635510	14274115	5997830	49164799	43270311	7152726	30788341	19671926	30602796	22116927	75987016	14404308	17196157	45620222	14912045	22288001	21718410	25090248	21377326	52291176	27107070	15543528	40960803	11585829	16743855	18954739	4911187	16908410	2282053	17862889	17198867	5071244	13937365	10541952	18111321	17131373	22208444	17135621	19105735	13456551	23144968	15139234	16636739	10612000	1781749	7774169	13462288	23309640	12403605	15464028	21945877	13680813	21319012	481946	2129559	12485919	20140922	15942958	13885331	8432036	3822656	554176	2387	4549	10	320	11	Genetic Information Processing
Human Diseases	348561	174637	857271	264310	153337	624525	354256	39496	254424	472296	821587	272125	399054	538305	719159	372872	474242	330375	694662	313625	404903	387064	646228	513278	435667	269702	575047	305508	1456690	709910	552273	621018	687156	532740	902803	588379	370315	461231	378922	373671	945045	706761	430432	617452	901082	297915	667596	385744	371277	306364	563528	1064115	466230	1478403	762382	307671	1048157	402772	124895	321583	191371	521165	320026	1165412	634088	452377	205021	479480	523530	468147	533892	398680	228756	217953	1000667	4239	695442	997	2852	1545	964980	2078095	1063071	560650	851993	1181392	573366	1743476	801647	1062251	1044724	864029	791051	1181642	3448073	1062259	970444	1260972	824183	499919	860409	931900	1365575	2522339	649904	1100436	1078107	943305	335909	512335	1300030	529766	425839	269154	699476	936352	1282179	392196	3303964	580726	1941146	753341	656946	636818	492001	449762	1285347	320744	368126	484896	538788	389194	945008	800120	723791	1103419	458780	314915	1143671	640348	1884189	315143	583879	359252	427277	290399	15848	1481582	88021	569955	19763	19671	1620056	1476644	935963	634116	1614461	2397989	1147756	2894987	5104616	2219611	1057250	898734	893015	1590884	461227	3568042	1486261	774452	464262	2863393	1315231	610216	626320	817822	643972	1021193	1276003	537862	420109	428031	472601	486737	3320918	624130	537130	633898	663128	496387	330666	954602	719001	493707	446439	533106	1049944	599573	661441	515719	512128	527291	660189	295908	638636	819049	421202	517297	620407	563137	466654	1388753	407128	676954	653481	437428	649854	418936	1473144	521651	557454	368663	931635	1173068	135090	569752	1842469	1177914	921361	746697	1534179	597827	1944752	637760	772973	1006192	621377	1463299	721165	1265251	1459944	545920	582059	539914	352766	907595	1188650	2654368	944653	1152834	1080601	973166	426308	1798766	879662	540234	824560	2469289	951794	416673	986170	1011888	982490	425097	556527	964611	299031	583713	758121	581058	387621	278689	1739737	397655	1022077	1056174	93905	289473	249967	430807	346360	787794	709136	63708	48467	1491929	1829315	2237895	3673246	967043	2730138	1933847	9428644	1300998	2183226	1177689	685119	2722834	4482893	710748	936188	525050	279444	1864574	1732362	298382	1018088	967606	1454227	1016757	3130217	1163473	1050122	3363471	1391540	813447	1866678	1949438	1603831	2179006	966834	1358270	1329293	811873	1449544	1264859	370736	1136824	126773	1635791	1529048	272594	1286341	915658	806801	1419010	1994544	1393590	1699235	1290404	2135263	1412999	1428893	920356	159305	694692	1177196	2135944	1120223	1062912	1969269	1154437	1807020	42939	102160	1029392	1762996	1420605	1282626	649823	193932	46258	149	203	1	10	0	Human Diseases
Metabolism	19517845	8909001	52833512	14461604	7831763	28496572	19219020	2175948	13544260	26124941	51969300	13931496	18877893	25763264	38128947	18484822	22329398	16907826	34666446	16738284	19557537	19984292	33838671	28099819	23369474	14483623	31073732	14762220	75321321	30761683	28071110	29813300	26494159	23723314	35454814	23605313	20017615	18813446	16700688	18117340	63519846	31627584	20755941	29868207	48567997	14703200	26652303	23226979	20468511	16738746	35058009	64168078	28585318	79047629	32628765	21295644	57357163	23207131	7493993	17565350	10948441	28556544	21295360	71523716	36876345	23342423	10868062	28205808	28367665	24153645	26249388	21298737	13071393	12119707	43328045	212838	36064370	64208	126706	73477	56502797	125240117	49785663	27604839	40987807	67596838	27253080	78045688	41327787	56737560	62877332	39702138	34490986	62921367	122747802	61604105	40726849	53282938	42071889	23876032	46585461	47056458	76502912	141670089	34965816	62196176	59871302	44914992	17888448	23629058	84655068	26355822	22143833	16716927	36651190	47625785	65157938	17681656	206176369	38114557	121622244	35599855	34138127	26424473	23795326	21685082	73938233	13533404	16811572	28604616	28192914	18670552	51395433	42168360	31733474	47399331	21034242	16831190	66832755	39158594	113767506	19893790	29669725	25191116	23804931	17148360	981801	59697108	4616677	25069352	747889	749274	89049698	85665812	45658877	33041199	75968339	152266409	59572411	135549235	218294421	126382571	65719943	55791115	53249367	83021231	26072673	199478890	60962137	41946828	26688765	174927689	66576025	25942217	30020620	34918688	27831613	51043678	77420862	22867248	20067051	20037635	19366465	21357209	164103120	32262471	23162993	24066961	29623626	23680941	15863864	43530838	33634293	22957729	26570171	25525052	50418065	23596254	30107857	23926129	20828868	26311940	32963893	17507446	27170958	33891890	18773100	20980793	31765104	24166550	19601256	70092604	20981811	28295988	29462452	21126821	26748802	17723322	55967209	21916586	25807548	16177601	41417532	54553804	6838621	21751816	95557344	52632674	43315145	36836033	75805330	35306509	125927673	40239249	49050736	62058999	36564131	84158775	48397932	62505096	72843268	29738646	30755441	28336995	18713152	50201129	58090268	148924146	45378700	59976543	50225369	43064066	19939715	75497477	39744959	20746295	40943146	97674476	37808011	18843453	45835409	48791173	52321061	20160845	23462841	47404206	12503964	29320926	28853213	27893854	19373191	13789869	67593247	18390301	53200508	59239858	4338253	13311346	11868301	20455897	16545728	42300531	38089760	3110117	2158619	93979340	98657829	118177484	196154523	54298299	132267099	88741072	503610256	69618783	129750261	61807567	41087244	130814716	175319967	33413680	36596393	25036299	14205905	106444749	95572664	15581863	47851191	47083081	70023018	52064292	167272963	46785904	49566107	130206810	52309164	38836541	74699284	78983622	72587446	128189736	54320947	54029790	82301713	41035870	55308738	54413747	15907812	53983536	7188090	61409271	58496820	15360990	49637809	36215748	47184469	57727685	75899767	57883750	66556034	48538992	81732849	53770330	56535995	35780460	6212442	27008770	45717245	81588246	43751926	50706630	76997579	47230768	72588707	1688821	6249153	41968784	70556363	55477990	48668589	28670216	12047691	1978969	7605	14164	48	575	24	Metabolism
None	35632	8545	132476	51352	14103	88096	68170	6109	9335	55017	235233	25544	25832	79121	102537	52550	28382	34470	68840	42975	38054	36302	42786	74416	78456	48520	97527	43288	234173	93799	68096	80797	91718	68171	123585	69738	17760	42251	44629	38432	178307	91999	58258	82254	111480	43701	56856	51138	44619	51019	79733	221195	75829	245702	97147	20940	200015	76351	21515	30847	38469	64240	59111	305176	75893	63582	30636	38568	86374	73987	64870	66129	29861	28858	111610	828	120096	308	483	239	201491	404936	76386	89267	73603	260475	46648	240808	115383	83550	210014	95422	78744	181019	440829	165348	103673	133787	108110	34552	77503	159502	230873	351860	61723	151299	187986	128544	34415	73615	98187	77152	55506	47396	119241	129064	220093	38075	559459	103144	277739	100538	113690	64016	64709	53453	247253	40781	40341	79829	88961	51503	138662	56020	105510	154193	60687	29875	173669	39094	366642	71709	87676	47896	77300	52608	3539	187922	14704	71946	2201	2246	167369	229896	132190	57158	96991	422135	163167	354399	597010	352663	206526	152403	174697	214370	71476	712887	148702	140926	86396	495881	120271	76617	83497	93472	66372	145283	147949	66305	61475	61198	60244	65466	539684	112741	72189	77707	98543	72822	46761	129450	106864	71778	80710	81219	151293	75577	91482	73646	66076	82486	103729	51542	83742	101475	57971	67660	102241	74875	64884	218462	32761	87877	90240	60150	83952	52785	179854	73221	83585	44808	97460	158440	7708	63809	307713	105954	139875	71977	215884	83520	336075	120361	183939	195858	108261	308670	155631	165810	160968	31502	31974	34145	28802	104976	77217	606661	125367	176355	130303	132356	43013	217309	99215	41557	130776	324111	78487	51192	154322	108613	117590	71662	69714	55367	28838	50204	87024	65564	45220	23066	179057	59167	123696	145127	1714	43512	16731	28864	25815	51118	62753	5849	8694	303315	233611	175214	511587	75385	342171	227593	1585846	244192	414329	70566	142600	279145	613279	98327	128313	36054	32331	282589	170290	18655	60883	97069	134776	107261	302433	134393	145159	454299	154158	57171	220406	246084	210676	210652	139630	165956	354283	142379	180561	165471	49950	160497	23553	204144	185890	54059	161625	110105	83686	182854	227745	175765	193314	148918	257029	164098	179823	103560	18178	87425	151037	247779	129229	148000	231946	144394	218324	5198	22234	136949	217157	175465	142915	88198	41644	7071	25	36	0	0	0	None
Organismal Systems	136781	130971	365492	159405	123793	398956	220984	30122	221465	416120	842763	139291	135398	368465	457925	244560	152491	184874	358247	204966	173269	209362	226493	317099	271411	225318	371214	211383	897537	400907	297587	391381	350256	304174	479844	326696	155758	140273	193563	193586	1060099	388682	258009	371134	622932	230231	212931	439867	229259	231550	537028	1086281	426728	906481	412253	297609	929182	245622	134617	153677	171592	311041	333078	1130272	694822	292361	129686	494363	335720	295487	295123	251960	177614	123885	553613	3874	603279	1001	2290	1219	479184	2151094	508509	477872	452029	1085512	204092	1195239	570807	444733	1022381	442467	336167	838360	1710759	1016314	416039	556347	485966	172781	357607	782192	1183955	1679460	301483	530939	719299	620810	151549	366328	1308897	343504	273051	242100	617023	673358	1108116	170611	2588991	600429	1987416	437778	514766	253962	325511	254603	790220	164934	195042	374992	471527	259178	687262	334783	481525	691398	293576	136379	1014001	549269	1394728	305245	440818	362916	367534	258157	15422	878362	78499	374330	10997	11169	776383	520761	530137	288328	498030	2429588	780106	1661907	2528006	2149472	945558	800194	879110	1160456	368090	2848378	616826	612518	381934	2243707	406417	382318	399183	439759	346733	781970	1102272	326275	293024	301203	297470	314278	2078022	346208	350897	367429	431010	362302	230661	650715	508984	335919	397162	393417	753453	349574	441803	352654	314551	397183	494615	260640	400269	526986	276092	313496	481364	361001	292354	1074995	200091	422228	438192	312953	407864	261976	795292	333388	405402	208385	414072	711146	43427	317792	1314493	458970	681076	354419	960478	572151	1967602	552374	770678	998036	566979	1327649	734292	836191	638021	201669	218159	223184	165884	509308	409889	2207226	531085	899455	596527	612038	221444	1119426	464532	140695	627454	1267634	324524	235973	643839	537737	793132	362124	338467	366742	121662	277671	396691	293782	220686	133354	1090777	303091	742256	679310	33288	154264	83925	145260	124682	310556	339327	37711	28110	1114844	1176305	1123295	2254959	679914	1662759	1015574	6905818	974265	2061787	479776	645106	1313768	2362555	450545	490271	205582	165374	1429011	660501	126239	332425	538552	557825	587467	1707698	676427	689952	1724532	754882	301619	1120887	1120636	1061489	2064437	776152	831314	1226907	663308	803141	757406	238229	771962	109318	907313	871830	226283	769988	556224	663900	874291	1126184	845423	979263	720583	1239130	796113	814914	525684	91929	398098	693085	1224592	641369	742406	1171426	699622	1014449	25934	98027	640033	1074765	842112	716849	427595	180340	32436	115	192	0	4	2	Organismal Systems
Unclassified	5285474	2538208	14334683	4441646	2241979	7819059	5861572	657254	3650376	7054977	15447332	3503461	5291618	7289131	10332434	5396424	6305469	4443020	9205241	4467965	5105160	5467154	8814644	7759769	8033675	3774031	8204546	3977746	24574414	8845554	7584149	8285150	8572918	6387463	11408639	7444795	4901573	5583756	4656797	4849577	18713935	8661914	6000061	8523695	14525511	4007304	7599144	6410400	5353638	4785823	9628850	19132898	8569775	25767027	11009629	5342587	17024548	8351293	2105559	4661957	3232240	7357578	5824341	21715170	10080466	7436499	2713418	7475832	7596392	7776067	6781547	5929499	3462271	3164765	13221053	60667	9964011	17579	37015	19899	15531601	34795440	15193809	7641255	11022612	19581806	7606222	22620761	11463429	13795203	17372621	10912959	9651239	18045011	32248743	19206254	11530361	15170046	12176109	6628172	11528973	12948468	21964669	37639329	8963415	16644020	19404281	12195517	4774006	7138086	22154456	7537625	5949029	4410688	9777689	12641504	17502131	4929888	61910209	10105671	36226105	10426242	9401241	7537504	6439812	6073471	26891299	4076944	4628246	7561995	7458528	5115061	14213756	10692947	9507375	12841050	6230686	4397120	17987104	10428073	39406955	5628230	8611587	6744093	6724639	4684708	259648	19245009	1307912	8042457	251147	253938	23006146	23561428	13195290	8670573	19654033	44911547	18777503	37930206	61679076	39107099	18245289	15682030	15345371	25820778	7384850	62378437	17370575	12318155	7911856	53555699	17716123	8372872	8500584	10205495	8123672	13943353	22357811	7278102	5986755	6196578	6429956	6803013	56215458	11783335	7226286	7897311	8537489	7170773	4886010	13354320	10255327	6918154	7483344	7522295	14928711	7680012	9293597	7314531	6665178	7610688	9599240	4849399	8461035	11066193	5841282	6741866	9439019	7633135	6067405	21119596	5501780	8850228	9124414	6446513	8464115	5337619	16876243	6676921	7914741	4580150	11654701	15203647	2117094	7299908	28274805	14505059	11973803	10132847	21414435	9825252	36334803	11159633	14183485	18026085	10152662	25539227	13270974	16687340	19506404	7630108	8296262	6868416	4716383	12805296	15082369	48121532	14856208	19486040	14121686	12151505	5609328	19618527	11051983	6107650	11268754	31186188	10897293	5347514	13244529	13053703	16271193	5702119	7127970	12328256	3629690	7503252	9304792	7700327	5150283	3488984	19964130	5213469	16370461	15960166	1295589	4625835	3288433	5666543	4600583	10321142	9597099	891763	722291	30982769	25741233	29990088	55573400	13743741	36715069	24673950	156647506	21845532	39318144	15093374	11799146	35646462	56397526	9058641	11784450	6856377	3790865	28895206	23928696	3759786	13583298	12323693	19141560	13394912	45004144	15075131	14507347	42373902	17609585	10779270	24772147	25330877	22578614	35639063	15000885	17695418	23409475	11049592	17938612	17510239	4957541	16256735	1796825	20097515	19906821	4010133	15094476	11684717	13747593	18694955	25628310	18916050	22101093	16036686	26788007	18096813	19136950	11959763	2092249	8815613	15032304	27113348	14664799	15217848	25763051	15149405	24727563	549635	1710075	13593690	23480919	18278319	16460825	9076207	3110255	598854	2246	3736	9	115	9	Unclassified
