OTU ID	2011B.ORA	T2.Vag.B	2003B.ORA	T1.Vag.B	T2.Vag.N	T1.Skin.N	T1.Vag.N	1016M.VAG	1013M.VAG	1003M.VAG	T1.Rec.B	1010M.BMK	1007M.VAG	1003M.ARK	1003M.BMK	2003B.SKN	1015M.VAG	2009B.SKN	1009M.ARK	1007M.ARK	2002B.ORA	1009M.VAG	2001B.ORA	1001M.VAG	2011B.STL	1008M.VAG	2005B.ORA	1010M.ARK	T1.Oral.B	1001M.ARK	2005B.SKN	2007B.SKN	PosMilk.082514	1004M.ARK	PosMilk.081814	2001B.ENVIR	2009B.ORA	1004M.BMK	2008B.SKN	1009M.BMK	2010B.STL	2004B.SKN	1008M.BMK	1008M.ARK	2012B.STL	1006M.BMK	1012M.BMK	1006M.VAG	1015M.BMK	2015B.SKN	2016M.STL	2009B.STL	2015B.STL	2008B.STL	2006B.STL	2007B.STL	2004B.STL	PosSTL.081814	1011M.VAG	2008B.ORA	1010M.VAG	2006B.ORA	1012M.VAG	T1.Rec.N	1005M.VAG	T2.Oral.N	2004B.ORA	1002M.VAG	2010B.ORA	T1.Oral.N	1001M.BMK	1005M.BMK	2007B.ORA	1007M.BMK	2013B.ORA	Blank.Swab.081814	1011M.BMK	Blank.082514	BlankSw.082514	Blank.081814	2020B.ORA	1019M.VAG	1021M.VAG	1022M.ENVIR	1022M.VAG	1023M.VAG	1014M.VAG	1004M.ENVIR	2027B.SKN	2024B.ORA	1017M.VAG	2019B.SKN	1015M.ARK	2024B.SKN	1024M.ARK	2021B.STL	1020M.BMK	1026M.ARK	1027M.VAG	1026M.VAG	2016B.ORA	1023M.ARK	2027B.ORA	2022B.ORA	2023B.ORA	2014B.ORA	2027B.STL	2016B.SKN	2026B.ORA	1027M.ARK	2026B.STL	1027M.BMK	2014B.ENVIR	2018B.ORA	1023M.BMK	1028M.ARK	1022M.ARK	1017M.BMK	2014B.STL	2017B.STL	2022B.STL	2026B.SKN	PosMilk.082614	1019M.BMK	1028M.BMK	2014B.SKN	PosSTL.082614	1026M.BMK	1017M.ARK	1020M.ARK	1022M.BMK	1021M.BMK	2022B.SKN	2021B.ORA	1004M.VAG	1024M.BMK	2006B.ENVIR	2019B.ORA	1020M.VAG	2023B.STL	2019B.STL	2018B.STL	1006M.ENVIR	1014M.ENVIR	2005M.ENVIR	1018M.BMK	BlankSW.082614	2001B.STL	1024M.VAG	2023B.SKN	PSP.Swab.090214	Water.Swab.090214	2033B.ORA	2034B.ORA	1034M.BMK	1035M.BMK	2031B.ORA	2032B.STL	T2.Oral.B	1032M.ARL	1030M.ARL	2033B.STL	1031M.VAG	1033M.VAG	1032M.VAG	2031B.STL	1016M.BMK	2035B.STL	1030M.BMK	2028B.STL	1029M.VAG	2034B.STL	2030B.ORA	2012B.SKN	2031B.SKN	1031M.BMK	1032M.BMK	1031M.ARL	2030B.STL	2013B.ENVIR	2015B.ORA	1013M.ARK	1035M.VAG	1002M.ENVIR	2024B.STL	2002B.STL	1013M.BMK	BlankH2O.090514	1014M.ARK	1021M.ARK	1007M.ENVIR	2011B.SKN	1016M.ARK	1019M.ARK	2001B.SKN	2002B.SKN	1012M.ARK	1018M.ARK	T2.Skin.N	2005B.STL	1018M.VAG	2021B.SKN	1014M.BMK	2028B.SKN	2013B.SKN	2028B.ENVIR	2013B.STL	2018B.SKN	T2.Skin.b	1011M.ARK	2020B.SKN	1002M.ARK	1033M.BMK	2010B.SKN	T2.Rec.B	T1.Skin.b	2017B.ORA	2012B.ORA	2003B.STL	PosSTL.082514	1002M.BMK	1052M.BMK	1044M.BMK	1050M.ARK	FungMock.100314	2044B.SKN	1048M.ARK	2053B.SKN	1054M.ARK	2053B.ORA	2048B.SKN	2047B.STL	2045B.STL	1049M.VAG	1052M.VAG	1046M.VAG	1053M.VAG	2049B.STL	1047M.VAG	2049B.ORA	2046B.ORA	2044B.ORA	2054B.ORA	2048B.ORA	1049M.BMK	2045B.ORA	2052B.ORA	2050B.STL	BactMock.100314	2046B.STL	2047B.SKN	1047M.ARK	2055B.SKN	2054B.ENVIR	1054M.BMK	1053M.BMK	1049M.ARK	PosMilk.100314	1046M.BMK	2054B.SKN	1053M.ARK	2050B.SKN	2053B.STL	1047M.BMK	1045M.ARK	2047B.ORA	1048M.BMK	1050M.BMK	1046M.ARK	2043B.SKN	1055M.BMK	1045M.BMK	2048B.STL	1047M.ENVIR	2052B.STL	2049B.SKN	1054M.VAG	2044B.STL	1044M.VAG	1048M.VAG	1050M.VAG	2055B.ORA	2050B.ORA	1045M.VAG	1055M.VAG	2055B.STL	1030M.VAG	2042B.ORA	2041B.ORA	1043M.BMK	1043M.ARK	1037M.BMK	2042B.STL	2041B.STL	2029B.REC	2032B.ORA	1028M.VAG	2036B.ORA	PosMilk.100214	1029M.ARK	PosMilk.090514	1037M.VAG	1029M.BMK	2037B.ORA	2035B.ORA	2028B.ORA	1036M.VAG	1042M.BMK	1036M.BMK	1041M.BMK	2029B.ORA	2043B.ORA	1042M.ARK	PosMilk.093014	1044M.ARK	1041M.VAG	2046B.ENVIR	2032B.SKN	1030M.ENVIR	2043B.STL	1043M.VAG	2045B.SKN	1042M.VAG	1001M.ENVIR	2052B.SKN	2041B.SKN	T2.Rec.N	2029B.SKN	2006B.SKN	1037M.ENVIR	1052M.ARK	2020B.ENVIR	BlankSW.093014	1006M.ARK	2036B.STL	1034M.VAG	2035B.SKN	PosSTL.093014	1037M.ARK	AllPrep.EB	BlankSw.100214	AllPrep.H2O	PosSTL.100314	2037B.SKN	1005M.ARK	PosSTL.090514	1035M.ARL	2046B.SKN	2042B.SKN	2003M.ENVIR	BlankSwab.090514	2033B.SKN	PosSTL.100214	Blank.100214	2017B.SKN	1033M.ARL	Blank.093014	1041M.ARK	1055M.ARK	1034M.ARL	1020M.ENVIR	BlankSw.100314	2036B.ENVIR	AllPrep.RW1	Blank.100314	2054B.STL	2034B.SKN	KEGG_Pathways
Amino Acid Metabolism	3490303	1470584	9934161	2592707	1335047	5897118	3504512	372044	2381385	4681967	10608187	2452524	2645030	5545474	7510305	3907699	3084277	3210624	6601772	3035677	3562246	3277786	6496169	4740629	4584688	2986952	5688851	3024995	14878007	6563719	5231942	6186703	5706323	5007853	7650100	5151677	3255447	3812352	3487836	3541732	12480267	6566662	4312190	6175724	10156491	3152799	5434938	4546731	3870839	3529493	7324131	12393228	5633746	15138560	6650182	4787372	11239236	4663836	1348973	3246188	2015263	5037268	3717342	14896244	7312868	4333847	2003739	5171710	5039740	4762998	5225303	3988613	2349968	2221669	8943731	43767	7742479	13398	27611	16213	11175577	22309281	7902094	6103490	6456998	12300141	3804561	15360984	8234853	9495886	12064554	7984907	6934348	12922370	26947130	11976619	8387065	11123258	6458804	3332229	8100628	10333154	14404460	24685217	5964422	11257871	11725522	9022257	3290147	5051150	18253274	5294628	4445112	3586136	7767705	9687585	14265280	3549286	41375089	8411525	23393238	7176458	7380804	5464287	4850443	4397716	14876074	2891277	3445268	6169654	6281963	3830826	10327000	7149353	7151710	10353526	4540550	3271160	11558891	8523908	22751604	4246400	6769155	5517420	5406846	3433188	222775	13577581	866278	5653117	169744	170549	15589644	17192036	9506788	6281943	13655823	29948232	10932486	28181959	45607050	23689491	11552049	9606544	9426177	17304798	5780729	38256639	12789523	8516567	4885937	34349390	12881852	5907238	6053018	7189560	5728729	10769307	15896888	5199365	4584570	4576599	4261796	4874734	31727146	6460409	5251783	5406534	6678686	5389828	3634912	9848752	7607391	5189535	6142687	5625620	11622871	5236325	6905718	5416515	4665437	5887397	7460422	4001233	6194896	7645160	4276023	4688914	7154279	5471463	4420701	15945468	3672309	6339466	6662606	4858706	6033857	4057147	12731170	4923798	5853174	3446025	8414385	11358494	1120009	4964808	18913336	9986364	9437648	6369596	15466099	7271326	24448152	7406024	8675190	10828485	6255949	15241245	8338009	12456900	13263605	5268133	5202362	4725116	3165176	8645116	10188956	29312989	8948953	11565888	10343135	9344925	3857023	17627510	8221650	4239280	8555007	21086062	7842521	3979597	9918389	9437674	10342581	4496999	5079081	8856466	2533169	5248577	6414452	5245112	3703257	2464884	13434739	4018177	11301757	10754395	574014	2590014	1640816	2830505	2331915	7260097	6510504	556753	471841	18543917	16646775	19526690	37524662	11107156	26760217	18019246	100942806	14184997	25661863	10788380	7725366	23981434	37643631	7022866	7871580	3594770	2661548	19792278	17258443	2607468	6685052	8580107	13327837	9497048	28947874	10296629	10376190	27749438	11874559	5560806	16927646	17427036	16378640	25974197	9638290	12260704	15965627	8957604	12330366	11606723	3591774	12091353	1454077	13828026	13257076	3325414	10795912	8211929	10370016	12945518	17216339	13066565	15107458	10926782	18284648	12279838	12584763	8068986	1415802	6090068	10313102	18599861	9963406	11623855	17450558	10683067	16185186	378917	1363898	9463620	15859775	12440365	11110327	6525568	2650666	427329	1736	3100	10	122	1	Metabolism; Amino Acid Metabolism
Biosynthesis of Other Secondary Metabolites	310854	132199	869937	188002	118428	385006	252270	27657	136702	358820	982050	211160	150146	303216	492776	206369	169251	226006	447453	260685	262072	234772	567239	354699	373466	188113	419145	189850	1031963	334590	395005	390033	388564	282332	519465	391963	298594	200406	190339	230590	1410867	438095	260480	373492	812143	196812	258179	339325	307826	222524	684707	1224100	559105	1160350	511907	448494	1106048	427727	121715	244654	174067	460253	398648	1369281	594150	329709	153341	397272	450858	334469	432727	291000	231956	193049	702807	3402	523560	1242	2108	1308	866996	2344578	315071	406874	452573	1112627	238008	1424572	576546	870847	1136163	488486	377852	828570	1862125	1256186	417535	574433	501523	202447	734478	599434	1367934	2348064	534236	976717	940784	549437	265909	352783	1879262	375066	331405	294780	521768	649531	868104	209942	3397255	635695	2808100	458021	696346	279838	323110	274261	1369578	181212	204176	500489	404145	272249	668254	635209	536727	714239	334335	251372	1145974	791452	2206895	371705	502042	471236	427006	292183	20050	996048	73519	387518	12042	11959	1404727	1341056	586723	508791	1016580	3217654	875976	1818016	2315183	2960915	1162768	972854	951123	1451877	394189	3456176	604257	703936	356451	2832793	944215	415937	405995	495792	431205	728293	1655482	360032	303915	320882	308375	345393	2592121	571665	369570	384537	470253	358684	251373	725721	547523	379142	418755	413911	777297	378049	475635	384557	348257	407758	544141	286493	445360	528210	303557	328701	517479	388044	322013	1101499	322789	442325	492863	319300	432064	275037	941353	356680	449364	190283	502566	697271	50739	350465	1395753	595182	561874	450526	1080929	708679	2916908	716437	887972	1144925	623386	1517553	931855	853687	985056	464192	500127	439908	289279	813328	791259	2660605	751462	1042328	570470	475447	286384	1351722	480890	191639	528167	1383757	360394	244527	555889	660442	1074770	263199	363607	671003	148887	427381	435020	387266	296366	212062	921088	246189	927087	1001666	68796	242681	99894	172316	145657	668115	601431	27751	35710	1784929	1554323	1867780	3580462	991237	1970579	1113382	8511742	1241534	2539621	949694	842034	1891831	2548124	436548	535399	227539	203825	1885933	1533144	239531	355527	736540	969135	805341	2780622	759077	677003	1877240	837275	334559	1225076	1217670	1160193	2949755	888804	863944	1352398	694726	873265	835222	244134	858234	115270	990259	951679	276054	826666	569822	909643	943998	1224005	954932	1082342	795787	1276176	868497	938384	559373	100820	440884	770620	1334015	697629	793876	1219723	751639	1202709	27008	131865	672753	1089274	914918	773099	447168	215159	33169	114	187	0	4	1	Metabolism; Biosynthesis of Other Secondary Metabolites
Cancers	23167	17115	43467	33994	16531	68544	44516	3591	13774	46773	122826	10966	48692	54836	53596	39553	55823	18030	39670	21817	17810	51492	21246	52528	50401	34996	32997	27000	68057	69663	34097	51036	72459	54933	95737	60424	950	34678	32074	23207	117002	74436	38765	53500	68066	24994	45329	30465	21814	29772	54655	151805	59942	160068	81371	9948	140717	47830	13050	11007	20645	24089	20016	162818	61722	30292	9679	34652	39025	26127	47858	27675	20251	12149	81544	442	68087	128	382	247	92948	233716	45798	57817	120036	146602	73812	214991	67678	13536	128232	57312	55559	143186	582858	124588	74634	101316	112768	66712	17541	98785	141186	170294	17667	50688	124543	87101	12110	50776	111893	47411	31896	33690	56425	67783	140912	24973	341030	58023	277842	52075	91317	48295	35369	33695	157073	29611	25887	50775	61578	29540	95107	11508	90817	173048	48061	9082	132006	22934	220733	43019	75224	30516	57337	27769	2312	172584	9960	60469	2072	1954	70919	84810	75446	23718	40185	344497	88877	252483	439722	376020	86576	76960	87670	150960	51694	497763	112093	92917	60662	314554	46244	62163	58447	67181	50746	87592	126231	58176	51455	50293	49838	54276	366039	73591	61384	67753	96882	57737	38182	114249	89915	59487	60917	64401	134314	71215	78629	61417	58692	63019	83867	39525	76991	91053	48361	59741	79674	62804	58016	167590	15997	82829	74459	49732	75632	59512	206401	75529	70467	29823	70550	105586	4029	60233	146620	65726	90620	29315	123878	55726	271663	71586	83053	82748	65942	184127	51804	93619	82493	2175	32431	3218	7968	42693	31159	360924	84492	117386	90465	88235	25928	320209	68997	38352	80227	259247	65925	38333	96685	61613	105812	42681	56137	24974	21252	20127	82531	36571	22448	9636	254500	38992	83347	68378	12807	29311	33009	56905	46294	4317	20395	4834	4150	173169	97735	65266	247812	47426	205839	173153	1199502	158971	289504	12684	87062	171350	472857	64587	99536	70367	17055	165932	36690	2066	115345	72047	74800	49571	143964	120261	107345	340981	148123	103767	193528	200519	182771	260855	118499	146525	156062	104627	159110	110161	43532	133977	11917	186405	163513	39278	169050	107654	59460	157324	206404	157747	181615	145922	234482	145690	162153	96595	16311	79318	133860	228930	109234	132143	215742	125871	193797	4461	15696	117481	174414	152444	137406	74017	35038	5585	18	24	0	0	0	Human Diseases; Cancers
Carbohydrate Metabolism	4685147	1989113	12015466	3421244	1667488	6049478	4481813	434452	2651913	5398495	11282686	3298479	4479467	5298644	8447973	3700935	5245858	3829411	7856903	3692117	4811885	4496227	8657164	6090823	5416729	2826677	7245205	3102179	14968219	6326799	6500710	6180277	5148739	5055585	6874552	4578977	5072999	4338242	3591424	4093314	14115575	6846140	4490294	6511919	10895765	3101304	6071919	4559441	4666299	3403679	7242529	12982010	6758068	18489969	6755588	4730104	11233247	5379699	1430446	4366166	2080072	6533122	4542332	15560504	7142471	4864814	2589625	6050783	5991073	4849984	5968091	5026575	2980555	2745348	8840375	42066	7580449	13292	24561	15203	12074513	25657610	7591614	5613340	10032633	13125255	6741922	14624601	8670269	13811077	12583927	8914483	7690549	12285082	25116047	13663621	8978447	11654741	9287504	5853958	11214998	9576823	15256411	30917853	8359327	14047036	14104045	9232237	4264145	4597068	19492743	5394576	4914815	3493560	7634208	10419496	13464835	4033396	49067205	7561062	29663725	7511083	6900383	5899673	5225236	4733748	17090994	2830260	3737946	6108453	5701724	3983014	10516150	10406841	6039074	9508651	4209623	4210443	15779596	8854134	26410375	3972771	5766331	5683369	4662803	3630038	199844	10868015	874109	4694580	135136	134349	21358992	19494306	9821474	7852025	18923343	33983374	12362685	29078133	46537657	28899428	14057142	12380953	10838533	17508956	5219478	41638178	13385361	8621504	5547689	42742592	16190023	4758457	6214874	7291598	5788333	10551762	17670653	4233280	3830109	3750360	3471464	3877377	37349405	7273775	4296297	4401516	5710079	4490305	2963807	8100178	6312800	4394261	5158008	4769382	9592633	4373472	5600066	4540374	3906535	5089216	6312607	3417846	5044960	6098023	3510200	3838348	5979477	4491762	3665229	13181251	5137483	5227921	5510592	3967689	4957546	3298844	10495260	4131710	4883903	3442056	9300837	11618017	1750215	3919218	19308698	12174608	8973028	8810448	16089953	7355831	28943846	8351254	9654318	12892199	7641571	17179980	10319588	13584111	16846505	7715662	7874906	7116191	4555543	11409468	14322315	32404550	10303166	13201204	10670909	8950276	4428122	14998218	8820244	4701512	8595662	18961325	8537308	4016846	9687893	11011440	11878591	3979032	4582035	11616843	2781223	7003683	5451123	6271099	4378303	3242803	11547232	3693268	11439861	13022721	1163602	3168586	2920601	5032761	4028050	10640890	9196760	578001	407101	22718238	21539850	29000712	43045947	12365067	28700955	19256194	109118388	14749251	27499362	15339257	8789767	29505613	34227538	7028163	7111105	6179484	3169442	22789105	23005855	3904461	11047736	10878157	16558387	11931134	39507114	8786111	9865311	25761949	9329898	9355810	13622293	14951993	13407456	28911260	11038470	9803712	15037015	8011539	10400215	10228927	2980360	10318071	1500952	11213593	10417783	3101084	9246183	6558065	10474727	10634998	13646248	10761100	12096289	8728957	14810849	9603272	10631911	6482016	1108780	4944030	8329371	14801277	7907354	9597812	13731092	8636236	13752432	308771	1233864	7640275	12766331	10174546	8628852	5256124	2402455	377775	1447	2826	13	124	6	Metabolism; Carbohydrate Metabolism
Cardiovascular Diseases	0	0	11	0	0	3872	45	44	6	3	160	782	0	1570	654	804	9	260	853	101	17	0	3211	1	0	41	2	487	0	1468	1013	1522	6870	2083	8933	4258	4	552	825	311	0	7843	728	758	0	93	205	3	812	438	2	1	1	0	0	0	0	0	6	28	0	0	0	1330	0	65	3	0	2	7	5820	480	0	44	3446	14	1718	0	42	25	14	9	49	2227	59	12	6	11503	2005	130	9	711	471	10709	115639	4	506	2343	10	2	19	899	19	57	11	7	40	1556	101	860	11	429	1852	1262	240	888	1997	592	10	12	8	1077	8593	1100	185	412	4	810	887	1599	1481	1162	2802	9	8474	25951	2860	48	1	6	1	304	6897	208	2440	734	128	10486	277	1943	113	54	36	20	1306	1006	9	3	48	7235	8078	2	4	0	56	10	1329	24	471	104	40	5	16	87	1785	4146	3092	957	21	1821	3501	814	579	1550	16	1	3453	4810	11463	2022	708	5281	6109	3759	1298	2710	8158	4373	3865	2636	4258	2067	4340	1519	5361	2305	2073	3496	2265	2844	5161	4177	622	6973	1958	1110	4434	6242	29590	7917	2159	435	2434	3191	125	2512	1013	644	3008	1	4278	2	5	1	8	48	2	41	4	2689	4	52	30	8	63	8	10	5	21	8	1898	418	654	57877	981	687	1168	22804	65	1273	764	1267	1	334	3612	4	923	418	5777	675	1455	561	23	1117	2	32	6	17	1	2	2	1	29	40	107	3	99	4	22	4259	8962	7270	8	193	6	8	1	11	44511	3152	9598	19	310	14	37	33	15	6999	201	1362	33	6387	3091	27870	7820	23	6368	9727	9819	32	20	5844	41	8464	12169	3241	2428	5787	238	17656	7235	2913	21889	6760	53	6829	6451	6835	6785	10975	16537	5599	9693	3444	416	6914	9419	11293	760	8945	8992	6587	8081	234	91	6523	3450	5951	6822	3158	2533	393	0	0	0	0	0	Human Diseases; Cardiovascular Diseases
Cell Communication	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	15	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	33	24	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular Processes; Cell Communication
Cell Growth and Death	239477	144925	633617	179987	122644	303371	236258	29001	223958	386341	579208	158509	285974	249991	419531	177453	339978	176856	358477	202825	228012	301581	425331	417342	215619	159681	385538	153764	885973	307628	330179	312635	242446	227809	323689	213221	236153	171387	164579	184024	643365	326401	214998	307963	503562	150808	258912	354174	230954	164780	428703	762184	296440	855307	305072	251497	692890	132697	106683	212610	151721	345826	291152	737579	549920	275594	131724	432399	371012	281903	304189	265940	167202	144236	412957	1965	377688	396	1338	783	686485	1691424	655501	284618	598835	922911	415224	892584	432339	650568	842193	405859	340631	665838	1388900	548537	406394	518621	605832	365246	536038	456664	999134	1742728	416362	758007	646395	487248	208306	227834	899413	292073	242845	176004	383946	497825	625353	185906	2485031	441756	1232996	388431	365581	260761	245159	223550	405872	122810	175734	295228	254810	189683	503083	487607	314001	517815	206882	201286	887692	434220	685117	225363	310507	292739	234478	190818	10268	535745	58222	205146	6101	5809	1055304	1019250	459557	365262	833979	1584725	707209	1364636	2156525	1262580	866823	749568	730173	873487	254047	2449234	594205	530375	354635	2103827	754982	203566	316023	341484	275702	529165	726503	192596	189743	170636	169523	193582	1562016	202724	200772	205443	303080	210120	135678	396194	320441	209853	252675	238634	463424	218028	262709	211293	190051	246338	294908	169555	249730	273383	163961	184770	283786	206407	189780	628939	242054	267102	248780	183666	236512	186593	560131	221991	226244	157278	406114	535569	91518	173527	1106301	549883	435480	432077	807131	408902	1300400	548316	640624	830173	495333	1035710	632066	664619	839263	356684	398926	327792	220135	604452	648823	1526237	416548	536456	488064	424009	206633	1122044	408350	197099	411605	883266	361317	185004	412932	513572	478339	195175	215070	529328	124949	324023	253577	308537	209286	149229	804296	185755	532158	729062	66426	108673	182652	314806	252959	491784	449233	37654	21342	810292	1173525	1426219	2182752	628630	1400885	908416	5642487	710113	1362011	699655	514725	1519194	1614163	337174	335538	381547	153859	1346160	1104468	179142	720976	570502	799060	586144	1958332	427379	460527	1190977	430905	586446	588244	694645	633994	1332250	772399	439580	1128161	393720	486273	511950	144172	492034	59610	530105	485911	165836	526362	310796	435384	479340	612691	484906	547964	429036	710054	419586	463383	301312	49432	227401	403773	665511	326281	490571	641925	397109	546237	14209	59941	359801	546283	466247	396703	245071	129395	17863	68	139	0	10	0	Cellular Processes; Cell Growth and Death
Cell Motility	163411	127615	526766	410157	113933	521622	521139	21615	185462	332195	1980123	163530	197452	366742	477482	327355	225215	182851	407352	178647	116675	229660	452176	343471	1050925	152287	270540	181474	1192504	531240	350347	483102	1952795	391242	2529648	1600175	113830	295521	226746	186492	1357961	849902	410890	436605	1914007	139688	142880	586186	368043	504700	530332	871845	556857	2708615	2104634	321758	674186	1415098	103781	150275	143153	211813	326176	3379279	908266	362011	75588	404369	242114	375134	724855	276389	123052	108630	2516814	14185	536853	2153	10856	4636	561909	2019070	222015	579140	450328	1011087	310552	3123933	892017	323906	1370570	409188	331841	1772500	6577139	1515160	329568	618660	511000	274034	285592	545374	808676	1502134	235425	481990	2131785	643639	165599	1046440	1945955	352996	468338	542027	298252	416491	711028	172011	5291263	485008	2704436	559146	1495110	266184	274735	280779	4614865	567479	161867	755809	494795	464779	1139708	214691	2098267	2313661	1096609	125829	912110	969217	6242769	656110	1712858	555652	1176918	601756	28340	4592523	116987	2046745	63571	67749	748416	825097	1141092	582547	361445	2620374	945222	2406968	2878412	2401536	870108	763312	686872	3132365	1162853	3423872	390088	631080	423057	5737098	411760	2027617	671238	1679614	1494934	705385	1522115	1572742	1286371	1370067	1532540	1595104	7140252	2242093	1724812	2125952	1811770	1470531	1025922	2907770	2321667	1520807	1209650	1605737	3133334	1922683	2001518	1623509	1604040	1226625	1999491	830979	1959184	2809307	1318023	1691074	1850337	1868844	1399888	4445930	325259	2165952	2104674	1363873	2130823	1252165	4031704	1463428	1729253	253271	763098	1194515	158326	1884716	1735159	496117	523563	207931	1511938	805760	1943726	504879	628438	928311	486405	1830044	645663	681968	532253	198491	259082	140365	140827	360040	308763	4875549	2232401	2100916	725025	321457	507879	3681973	307073	266835	494522	6420822	213806	402775	1090897	654890	1638625	372625	1350036	269424	342126	310324	2096926	381911	575943	257774	5804145	469587	2175196	526820	47033	1345368	132821	228131	188277	218698	256484	34370	88084	6467342	712545	781808	1719085	970298	3380417	1329147	20196878	2262862	2726329	327671	1962692	894549	12436115	467795	2649841	286030	217908	968515	602303	79564	474357	906092	490593	670622	1041765	3617434	1977283	9581371	4516153	469055	6407611	5624594	5301615	3535185	650378	4658881	1132950	2488550	4687391	3303150	1054584	3261305	254549	5241383	5336401	531545	3926665	2871465	1789404	4843928	6836178	4573696	5599164	4259503	7054379	4682854	4700687	2808921	531547	2156290	3956879	7216784	4026500	3082666	6664833	3827185	5886068	144341	259201	3502684	6096223	4925959	4103488	2122085	343145	157035	449	446	0	3	0	Cellular Processes; Cell Motility
Cellular Processes and Signaling	1260079	577498	3354274	1151312	520672	2094833	1525006	141962	735578	1486270	4443727	882605	1208484	2015439	2703260	1574999	1404604	1182074	2464094	1152990	1239619	1291367	1886908	1873011	2437602	978522	1877237	1050770	6996796	2445323	1864262	2320619	2712443	1804740	3611460	2183676	1183065	1603636	1301885	1302029	5424165	2381611	1682481	2359657	3972282	1036024	2116338	1575249	1330121	1310385	2446066	5598001	2516038	7672727	3297010	1232009	4861128	2537987	495683	1039568	820928	1862827	1327178	6415944	2456810	2104752	632695	1597980	1958501	2209551	1679167	1332873	847538	794552	3822456	16563	2600491	4727	11245	5454	3909437	8457136	2442489	2004030	2460320	4893776	1835702	5806302	3109760	3482268	4653808	2859805	2685756	5291726	8838919	5824218	3167462	4237658	2976394	1592960	2879121	3450409	5891026	9848039	2207859	4068185	5821275	3264510	1182252	2041566	5716468	2073505	1505088	1098746	2476483	3214360	4549384	1279378	17881569	2754069	10956902	2876030	2403277	2074608	1670146	1646742	8238191	1172449	1192883	1805806	1982488	1352925	4026634	2668013	2644596	3600448	1727324	958065	3916826	2575818	12076541	1403766	2254715	1688386	1724729	1144802	58788	5667973	329544	2494303	76822	78048	5611819	5544534	3551266	2177960	4948586	13348356	5248195	10338914	17044269	11968242	4331870	3628372	3789777	7079490	1941225	16229001	4797700	2919691	1893369	15884258	4296289	2496861	2314113	2887797	2289336	3611062	6361663	2137106	1671014	1795602	1950166	2006442	17347985	3651533	2131349	2407040	2410622	2040039	1410079	3781448	2915131	1974046	1920491	2116826	4132743	2329867	2682294	2110487	1981239	2112454	2665809	1260044	2465169	3391938	1701035	2032952	2729505	2257818	1775828	6011291	1346160	2653175	2654167	1801679	2527794	1482129	4916251	1913365	2310667	1250144	3214658	4158362	343802	2236012	7660296	3865203	3152610	2565578	5715149	2601050	10537175	2663958	3506933	4395508	2454442	6731649	3107474	4346642	5084605	1677953	1910149	1663667	1156028	3309418	3781903	14950699	4314897	5887688	3973166	3284260	1533224	5218586	2909947	1762757	2989263	9850527	3124696	1467472	3756902	3478755	4787147	1520321	2072302	3049679	999337	1908648	2809520	2057265	1327481	921528	5585382	1397283	4614967	4108196	296898	1459178	781820	1345444	1102953	2477408	2386066	170836	220796	9058174	6335440	7382513	15430255	3392233	10099341	6793168	45258856	6463803	11734285	3748827	3185476	9587154	17842079	2457378	3741592	1600319	1010848	7495528	5824677	916190	2979528	3161324	4859205	3325631	11793578	4526474	4144772	13252819	5421801	2551936	7592210	7617633	6743467	9993080	3731947	5460450	6162426	2947268	5508907	5182083	1432316	4717313	450842	6203392	6168197	1073794	4429653	3548534	3732562	5705924	7850568	5675947	6728852	4901674	8115370	5559941	5881092	3643484	638400	2697027	4589500	8301170	4523535	4229989	7947160	4577128	7581145	166661	475543	4154209	7209716	5590965	5068249	2707472	794307	168356	633	929	2	33	5	Unclassified; Cellular Processes and Signaling
