OTU ID	C3.110101	8.031003	2.071703	C11.092001	2.40301	7.051803	7.042002	7.070101	4.020701	7.030803	4.010402	4.011602	4.120403	C14.112902	4.112003	10.120602	2.062501	C11.120501	10.061303	8.111401	3.80403	3.052601	2.021503	8.050603	8.011403	7.112902.06.MC044	3.111301.MC026	7.010201.MC242	3.011101.MC225	C11.112101.MC085	C3.092002.MC079	C3.112902.MC078	C14.110102.MC102	2.051801.MC214	7.021304.MC295	10.100501.MC108	10.110901.MC063	2.081802.MC222	2.110501.MC018	7.100101.MC257	4.052802.MC029	7.081001.MC002	4.041101.MC293	7.111402.MC259	2.022002.06.MC210	3.70501.MC223	8.030605.MC276	8.040303.MC045	4.062101.MC043	8.121401.MC285	KEGG_Pathways
Cellular Processes	44675	10432	52733	31778	94044	57900	24840	44128	41906	9865	36260	14868	52950	149475	27351	8209	19901	18987	2501	25500	7130	21051	46544	26928	12614	77129	7327	13945	41895	42692	25729	22826	99069	14166	7715	91702	46080	64177	60283	249939	89187	15506	26838	71748	2983	72607	16619	20413	41928	20828	Cellular Processes
Environmental Information Processing	301526	100860	384667	170444	590585	426470	150869	369473	181798	57062	215102	153195	546670	1437702	337217	93563	181861	212220	21163	284506	45403	130489	286559	268894	143918	732151	46357	76535	187932	245791	225041	231302	909237	131357	74050	423092	450370	667643	603313	822079	499444	149203	196324	396155	25869	338134	104195	159109	386298	209142	Environmental Information Processing
Genetic Information Processing	387269	125441	289389	231688	389290	663047	291621	513043	396582	108993	265622	170755	673888	1681239	373771	100281	216189	264385	28943	349570	61203	161509	241141	328853	178134	928322	65413	96901	275459	436948	286896	286556	1095192	156739	94686	1043758	549333	812242	740218	930217	608257	210418	237355	322801	34070	824636	168317	182915	494887	252771	Genetic Information Processing
Human Diseases	13397	4230	10593	7059	14478	25242	11783	18979	16220	4333	9405	5830	24646	56018	14221	3908	6559	8891	1020	10679	2074	4608	16121	10067	5787	32426	2368	4053	9382	16001	10134	9530	36764	5740	3137	41080	20119	24757	23428	31966	21558	6745	8609	21391	1201	32516	7592	7373	15800	8028	Human Diseases
Metabolism	940189	284479	781106	532428	1102488	1629197	776514	1211555	1076690	284948	656753	390911	1526727	4011013	869963	233955	487866	592597	69015	771593	145320	367857	646859	728999	393221	2081376	153898	219261	712904	1180352	673681	656131	2559056	354407	218057	3192572	1239169	1812792	1655872	2286803	1472387	475786	564139	869472	83931	2517478	462357	440458	1128189	566770	Metabolism
None	2522	400	2793	2782	5032	4191	1616	2916	2712	669	1950	250	3103	17439	1563	325	479	815	124	20	656	1438	2234	339	92	5575	398	847	2380	3635	1698	693	11374	989	273	6893	3494	386	1145	9258	6148	138	1779	3145	366	5539	1170	675	2310	116	None
Organismal Systems	14224	4158	9331	8217	13255	23767	12419	17290	19531	4706	9134	5164	18248	50547	9693	2353	7190	7806	1018	11670	1611	5215	5919	11156	5721	27383	2326	2769	10595	20457	9585	9302	32192	4452	3239	65635	15060	28265	24884	32436	21309	7580	7016	8403	1014	51537	6867	6716	16020	8649	Organismal Systems
Unclassified	259847	73924	225927	157063	327623	469432	212815	353871	293799	78525	180762	101783	457575	1164998	257263	67657	122627	155127	19499	184604	43292	106651	248791	179770	97457	617079	43846	71972	194818	335019	197055	174452	766406	108802	57648	892525	381024	436920	420304	674991	428912	117248	163211	355035	25056	704183	135072	125972	301078	138646	Unclassified
