OTU ID	M50420.ARR.0148.1	M51210.BMK.0088.1	B51121.STL.0057.1	M51160.BMK.0331.5	M51200.BMK.0134.6	M50580.ARK.0029.1	M51160.BMK.0317.1	B51411.STL.0018.3	M50230.ARR.0138.1	M50290.ARR.0176.1	M50400.ARR.0151.1	M50460.ARR.0146.5	M50150.ARL.0133.2	M50510.ARR.0005.1	M50240.ARR.0197.1	M50510.ARR.0075.5	M50990.ARR.0007.1	M50660.BMR.0118.4	M50770.ARK.0010.1	M50770.ARK.0017.4	M50770.BMK.0024.5	M50540.ARK.0098.1	M51270.BMK.0099.8	M51580.BMK.0005.2	M50600.ARR.0040.1	DC90227Y.01	M50410.ARR.0178.2	M50240.BMR.0197.1	M50410.ARR.0198.3	B51051.STL.0008.1	B50991.STL.0007.1	B50511.STL.0005.1	M50360.ARR.0029.1	M50750.ARR.0008.1	M50460.BMK.0075.4	M50640.ARR.0040.1	B50541.STL.0709.4	B50151.STL.0800.4	B50661.STL.0684.5	M50590.ARK.0074.1	M50620.ARK.0026.1	B50541.STL.0098.1	M50420.BMK.0238.3	M51010.BMR.0057.6	M50660.BMR.0103.3	M50400.ARR.0208.2	M50280.ARR.0121.1	M50460.ARR.0075.4	KG8017VX.01	M50420.BMR.0148.1	M50330.BMR.0122.2	M50420.ARR.0161.2	M50190.BMR.0209.6	M50460.ARR.0055.2	M50380.BMR.0006.1	M50330.ARR.0041.1	M50420.ARR.0238.3	M50330.ARR.0122.2	M51000.ARR.0022.2	M50830.ARL.0028.1	M50660.ARR.0118.4	M50720.ARR.0030.1	B51391.STL.0003.2	M51220.BMK.0166.7	B51321.STL.0002.1	M51230.BMK.0234.7	M51050.BMK.0035.2	M51230.BMK.0171.6	M51360.BMK.0003.3	M51450.BMK.0007.2	AG8017VZ.01	EG8017TT.01	M51510.BMK.0002.2	KG8017XG.01	B51651.STL.0005.1	B51741.STL.0007.2	M51580.BMK.0019.5	B51581.STL.0048.2	PosMilk.072214	PosStool.072214	M51670.BMK.0004.2	M51740.BMK.0006.1	M50440.ARR.0016.1	M51760.BMK.0151.1	M50360.BMR.0120.2	PSP.031414	M51440.BMR.0011.3	M51240.BMK.0115.3	M50580.BMR.0029.1	M50260.ARR.0025.1	M50410.BMR.0126.1	M50260.BMR.0025.1	M50400.BMR.0208.2	M50220.ARR.0105.1	M50410.BMR.0198.3	M50490.ARR.0012.1	M50490.BMK.0012.1	M50510.BMR.0012.2	B50151.STL.0133.2	M50230.BMR.0138.1	M50270.ARR.0020.1	M50280.BML.0121.1	M50330.ARL.0135.3	M50390.ARR.0123.2	M50410.ARR.0126.1	M50510.ARR.0012.2	M50510.ARR.0033.4	M50510.BMR.0033.4	M50510.BMR.0075.5	B50741.STL.0005.1	B50811.STL.0009.1	B51001.STL.0006.1	B51011.STL.0007.1	B51041.STL.0007.1	M50840.ARR.0009.1	B50971.STL.0004.1	M50750.BML.0009.1	MoBio.Blank.R5L3	M50840.BMR.0009.1	M50970.ARR.0004.1	M51000.ARR.0006.1	M51000.BMR.0006.1	M51010.BMR.0007.1	M51040.ARR.0007.1	M51040.BMR.0007.1	M51050.ARR.0008.1	Pos.Milk.R6L4	B50811.STL.0015.2	B50961.STL.0013.1	B51021.STL.0020.1	M50660.BMR.0096.2	M50720.BMR.0030.1	M50740.ARK.0005.1	M50830.BMR.0028.1	M50850.ARK.0031.1	M50960.ARK.0013.1	M50980.ARK.0015.1	M50990.BML.0007.1	M50850.ARR.0064.2	M50810.ARK.0015.2	B50851.STL.0031.1	M50900.ARK.0027.1	M50860.ARK.0003.1	B51001.STL.0022.2	M50970.BMR.0004.1	B50771.STL.0014.4	M51000.BMR.0022.2	M50270.BMK.0020.1	Pos.BMK.A.R8L6	Pos.BMK.B.R8L6	Pos.BMK.C.R8L6	M50390.BMK.0123.2	M51030.BMK.0103.1	M51010.ARK.0007.1	B51091.STL.0008.2	M51020.ARR.0020.1	M50750.BMK.0008.1	B51011.STL.0057.6	M51020.BMR.0020.1	M50660.BMK.0087.1	MoBioSw.Blank.R7L5	M51120.BMK.0073.5	Pos.Milk.D	Pos.Milk.E	Pos.Milk.F	B51271.STL.0008.2	B51291.STL.0012.5	B51311.STL.0002.1	B51361.STL.0002.2	B51371.STL.0015.2	B51411.STL.0002.1	B51441.STL.0010.2	B51421.STL.0006.2	B51391.STL.0009.4	B51441.STL.0011.3	B51211.STL.0104.5	MoBioUV	B51261.STL.0007.3	B51271.STL.0002.1	B51441.STL.0003.1	M51240.BMK.0202.7	M51260.BMK.0006.2	M51280.BMK.0010.1	M51290.BMK.0005.2	M51290.BMK.0008.4	M51290.BMK.0012.5	M51290.BMK.0018.6	M51330.BMK.0007.3	M51360.BMK.0015.4	M51410.BMK.0018.3	M51420.BMK.0006.2	PosMilk.022514	PosMilk.022714	PosMilk.022814	B51281.STL.0010.1	B51291.STL.0008.4	B51301.STL.0002.1	B51401.STL.0002.1	B51441.STL.0026.5	B51461.STL.0005.3	M51260.BMK.0104.7	M51270.BMK.0008.2	M51290.BMK.0032.7	B51281.STL.0100.6	B51421.STL.0007.3	M51280.BMK.0100.6	M51370.BMK.0015.2	B51351.STL.0001.1	M51240.BMK.0125.5	B51261.STL.0104.7	M51330.BMK.0013.4	M51420.BMK.0007.3	B51421.STL.0040.7	M51370.BMK.0058.5	M51390.BMK.0009.4	M51400.BMK.0004.2	M51400.BMK.0005.3	M51410.BMK.0045.6	M51420.BMK.0040.7	M51420.BMR.0033.6	M51440.BMK.0010.2	M51440.BMK.0026.5	PosMilk.031214	PosMilk.031314	AG8017Z5.01	B51281.STL.0025.4	B51511.STL.0020.6	B51541.STL.0006.2	B51541.STL.0021.6	B51551.STL.0014.2	B51551.STL.0030.6	B51581.STL.0019.5	B51591.STL.0005.1	BC9023G2.01	BG8017V8.01	CC9023G6.01	CG8017Z7.01	DG8017VS.01	EG8017Z3.01	AG8017WC.01	AG8017W3.01	M51540.BMK.0006.2	M51540.BMK.0021.6	M51550.BMK.0014.2	M51590.BMK.0005.1	PosMilk.072314	B51201.STL.0043.1	B51201.STL.0058.4	B51601.STL.0018.5	B51641.STL.0005.1	B51671.STL.0004.2	B51691.STL.0004.2	B51761.STL.0151.1	M51200.BMK.0058.4	M51370.BMK.0030.4	M51410.BMK.0031.5	M51550.BMK.0030.6	M51460.BMK.0018.6	B51681.STL.0007.2	B51651.STL.0027.5	M50950.BMK.0050.3	M51640.BMK.0020.4	M51650.BMK.0027.5	M51670.BMK.0013.4	M51680.BMK.0007.2	PosMilk.080514	PosMilk.080614	B50121.STL.0272.2	B50171.BML.0264.1	B50441.STL.0016.1	B50471.STL.0098.4	B50171.STL.0264.1	PosStool.080514	B50381.STL.0006.1	B50391.STL.0065.1	BC9023GB.01	Blank.072214	M50100.BML.0271.2	M50390.BMR.0158.4	M50470.BMK.0014.3	M50640.BMR.0040.1	M51460.BMK.0101.8	M51630.BMK.0093.1	M51650.BMK.0005.1	M51690.BMK.0004.2	M51700.BMK.0008.2	M51740.BMK.0020.5	PosMilk.091814	M50360.ARR.0120.2	M50460.BML.0049.1	M51510.BMK.0020.6	M50650.BMR.0107.2	M50390.BMR.0065.1	M51690.BMK.0037.5	M50620.BMR.0026.1	M51200.BMK.0043.1	M50190.BMR.0051.3	M50360.BMR.0029.1	M50470.ARR.0014.3	M50470.BMR.0008.1	M50470.BMR.0098.4	M50540.BML.0098.1	M50570.ARR.0030.1	M50590.BMR.0074.1	M50650.ARR.0107.2	CC90227C.01	DC902282.01	FC902284.01	FC90228N.01	GC90228G.01	GC90228J.01	Pos.Milk.11.0434	DC90228L.01	GC902280.01	AC902288.01	GC90226L.01	CC90227W.01	MoBio.11.0434	B50651.STL.0697.4	AG8017WM.01	M51360.BMK.0002.2	B51231.STL.0144.1	MoBio.022814	AC90227T.01	M50410.BMR.0178.2	DC9023G8.01	EG8017ZC.01	GG8017Z9.01	HC9023GD.01	JC9023GG.01	B51461.STL.0101.8	M51640.BMK.0005.1	B50101.STL.0273.3	B50191.STL.0051.3	DC902260.01	HC90226Z.01	B50461.STL.0075.4	B50831.STL.0028.1	B50551.STL.0022.1	B51011.STL.0036.2	B51371.STL.0058.5	B51411.STL.0031.5	B50621.STL.0026.1	DC902275.01	MoBio.022514	MoBio.022714	B50251.STL.0036.1	B50661.STL.0096.2	B50661.STL.0118.4	B50771.STL.0137.6	B50661.STL.0103.3	B51211.STL.0096.4	B51231.STL.0158.5	M51210.BMK.0104.5	CG8017TY.01	EG8017VV.01	EG8017WK.01	B51461.STL.0018.6	M51220.BMK.0078.1	M50650.BMK.0094.1	AC902277.01	FC90227F.01	FC90227P.01	GC90227H.01	JC902279.01	M50600.BMR.0040.1	B50661.STL.0087.1	B50231.STL.0138.1	B50241.STL.0197.1	B50261.STL.0025.1	B50291.STL.0176.1	B50331.STL.0122.2	B50331.STL.0135.3	B50401.STL.0151.1	B50411.STL.0126.1	B50421.STL.0148.1	B50421.STL.0161.2	M50420.BMR.0161.2	B50421.STL.0238.3	B50491.STL.0012.1	M50250.ARR.0036.1	M50330.BMR.0135.3	B50271.STL.0020.1	B50401.STL.0208.2	B50411.STL.0178.2	B50461.STL.0146.5	M50090.BMR.0086.1	PSP.Blank.R4L2	M50480.BMK.0131.2	M50220.BMR.0105.1	M50150.BMR.0133.2	M50390.ARR.0065.1	B50721.STL.0030.1	B50851.STL.0064.2	B50871.STL.0031.1	B50981.STL.0015.1	B50901.STL.0027.1	M50980.BMR.0015.1	B50191.STL.0209.4	B50221.STL.0105.1	B50391.STL.0123.2	B50411.STL.0198.3	B50511.STL.0075.5	B50651.STL.0107.2	B50721.STL.0060.2	B50771.STL.0024.5	B50831.STL.0057.2	B51021.STL.0033.2	B51031.STL.0117.2	B51031.STL.0145.6	B51061.STL.0013.1	B51061.STL.0021.2	PSP.Blank.R8L6	B51051.STL.0049.6	B51081.STL.0050.1	B51081.STL.0056.3	B51121.STL.0073.5	B51141.STL.0005.1	B51141.STL.0012.3	B51141.STL.0028.6	B51161.STL.0317.1	B51161.STL.0331.5	M50890.BMK.0164.1	M51120.BMK.0057.1	B51241.STL.0115.3	B51241.STL.0125.5	B51331.STL.0007.3	B51331.STL.0021.5	B51341.STL.0002.1	B51371.STL.0002.1	B51381.STL.0001.1	PSPBlank.L6	B51271.STL.0016.5	M51230.BMK.0144.1	B51211.STL.0088.1	B51221.STL.0166.7	B51241.STL.0201.7	B51291.STL.0032.7	B51391.STL.0001.1	B51411.STL.0045.6	B51421.STL.0033.6	B51451.STL.0007.2	B51451.STL.0016.3	B51461.STL.0004.2	M51330.BMK.0021.5	M51270.BMK.0016.5	M51450.BMK.0016.3	AC9023FR.01	AG8017V6.01	B50711.STL.0077.2	B50951.STL.0063.7	B51141.STL.0019.5	B51221.STL.0078.1	BG8017TM.01	BG8017TW.01	BG8017W5.01	DG8017W7.01	DG8017Y2.01	DG8017YB.01	EG8017V2.01	EG8017W1.01	EG8017Y6.01	FG8017W9.01	FG8017Y4.01	FG8017YD.01	GG8017TP.01	GG8017Y0.01	GG8017YG.01	HC9023G4.01	HG8017TR.01	HG8017WF.01	JC9023FW.01	JC9023G0.01	FG8017V0.01	EG8017VB.01	JC9023GJ.01	JG8017WH.01	KC9023FY.01	B51671.STL.0013.4	JG8017ZF.01	M50950.BMK.0063.7	KG8017V4.01	M51600.BMK.0018.6	M51590.BMK.0021.4	B50091.STL.0129.2	B50141.STL.0239.1	B50151.STL.0097.1	B50151.STL.0144.3	B50161.STL.0098.1	B50361.STL.0120.2	B50461.STL.0049.1	B50471.STL.0014.3	B50561.STL.0029.1	B50571.STL.0030.1	PosStool.080614	B50591.STL.0074.1	B50601.STL.0040.1	B50631.STL.0078.1	B51371.STL.0030.4	M50440.BML.0017.2	PosMilk.082914A	B50361.STL.0029.1	B50391.STL.0158.2	B50541.STL.0125.3	B50651.STL.0094.1	B51632.STL.0093.1	B51601.STL.0003.1	SG.Blank	CC902264.01	CC90226D.01	CC90226X.01	CC902273.01	CC90227M.01	DC90226G.01	DC90226J.01	FC90226S.01	GC902262.01	GC90226B.01	GC90226V.01	HC902266.01	JC902268.01	M50630.BMR.0078.1	DC90228B.01	M51020.BML.0083.6	QiagenColUV	M50400.BMR.0151.1	M50540.BML.0125.3	SG.MoBio	B50511.STL.0033.4	M51010.BMK.0036.2	B50441.STL.0028.3	B50611.STL.0041.1	B50771.STL.0010.1	M50960.BMR.0013.1	B50861.STL.0003.1	M50900.BMR.0027.1	M50810.BMR.0015.2	B50751.STL.0009.2	M50770.BMK.0013.3	M50550.ARL.0022.1	M51030.BMK.0116.2	M50830.BMK.0057.2	B51051.STL.0035.2	B51361.STL.0003.3	M51020.BMR.0055.3	M51140.BMK.0005.1	M51050.BMK.0049.6	M51080.BMR.0056.2	M51080.BMK.0050.1	M51220.BMK.0106.6	M51230.BMK.0158.5	B51291.STL.0001.1	PSP.022612	PSP.030314	PSP.030414	M51240.BMK.0139.6	B51701.STL.0022.5	B50301.STL.0017.1	B50581.STL.0029.1	B50471.STL.0008.1	M50300.ARR.0017.1	M51600.BMK.0003.1	PosSTL.091814	M50300.BMR.0017.1	M50440.BMR.0028.3	B50641.STL.0040.1	M50560.BMR.0029.1	M50570.BMR.0030.1	BC902271.01	GC90227R.01	PSP2.11.0434	FC90228D.01	EC902286.01	CC90226N.01	B51691.STL.0018.4	B51691.STL.0037.5	M50330.BMR.0041.1	M50870.BMR.0031.1	M50460.BMK.0146.5	M50720.BMK.0060.2	M50810.BMR.0009.1	M51020.BMK.0033.2	MoBio.031214	Blank.082914	B50751.STL.0008.1	M50770.BMR.0017.4	M50890.BMK.0172.2	MoBio.Blank.R8L6	MoBioNoUV	M51420.BMK.0013.4	B50281.STL.0121.1	M50290.BMR.0176.1	M50850.BMR.0031.1	M50150.BMK.0144.3	GC9023FT.01	PSP.031714	M51460.BMK.0004.2	PosStool.072314	B51641.STL.0020.4	M51740.BMK.0007.2	M50440.BMR.0016.1	M50510.BMR.0005.1	M51580.BMK.0048.6	MoBio.031314	B51591.STL.0021.4	M50740.BMR.0005.1	M50770.BMR.0010.1	DC90226Q.01	M50250.BMR.0036.1	M50090.BML.0129.2	M50400.BMR.0241.3	M50660.ARR.0096.2	B50841.STL.0009.1	M50810.ARR.0009.1	M50860.BMR.0003.1	Blank.072314	Blank.072214A	Blank.080614	M51690.BMK.0018.4	Blank.082914A	Blank.091814	M51050.BMR.0008.1	MoBio.Bla.sw.R6L4	Blank.080514	PosMilk.082914	M50850.BMR.0064.2	M51030.BMK.0145.6	M50090.ARR.0086.1	M50380.BMR.0066.2	M50400.ARR.0241.3	Blank.080614A	B50461.STL.0709.6	KEGG_Pathways
"1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation"	13	214	2	508	722	1580	75	6	50	10	19	4	85	52	22	2916	0	3233	2648	4298	6	317	10751	0	4	1518	126	118	44	1	0	4	2	356	2585	4	26	4	76	404	106	11	2	296	9098	12	226	3	3	2	98	0	4096	0	38	106	26	520	0	13	78	0	5	944	5	395	276	5189	24045	7671	8	0	47	17	2	1	2	0	292	5	0	4	29	0	48	1494	102	747	3390	1	37	11	656	114	154	4	18	1376	4	2849	158	1673	72	512	121	0	24	132	6469	479	0	1	0	1	44	0	204	1700	839	0	2	43	41	28	195	98	53	0	0	396	486	0	1544	0	734	426	489	59	0	615	1	209	3326	221	0	1	17	1	786	57	62	1197	3	1895	0	0	58	2	181	188	0	127	264	280	276	1	8	15	6	5	9	4	2	6	4	26	1615	2	6015	6	607	83	349	37	366	323	172	169	74	3094	574	475	896	780	13	1528	8666	5	7	3	874	5085	1578	10	9	70	968	9490	405	6	256	192	10	12352	984	868	278	3545	3825	8729	1049	6309	951	1847	3	0	0	2097	985	0	0	0	0	9	516	7	27	19	15	1	0	7	4	0	0	30	0	17	3	0	2	285	1	522	1126	0	0	36	4	0	568	49	0	0	5	36	918	67	3	3302	35	1	2	1	0	2562	349	781	272	27	57	8	0	39	25	2	0	847	1	305	17	1011	4	21	29	0	262	0	0	439	392	0	0	21	0	43	305	727	3366	4	840	532	21	402	164	0	1092	1759	0	8	28	7	9293	726	2389	1443	228	357	574	162	0	1195	15	11	1610	991	6997	1	0	0	9	0	20	0	5657	15238	1	272	3	92	10	2012	6	886	3	3	21	0	2	134	0	804	1010	2739	0	30	251	21	1	1	0	6	4	1	27	8944	7443	1	195	5	4	3	0	15	4	8635	0	384	3478	2	6	2770	1	0	0	0	0	1	4	0	1081	2	0	0	0	0	0	33	0	0	0	0	318	1	1	0	3	1613	145	152	6	1	3	4075	2	2	6	7	3678	3	226	173	2	402	385	11	24	1408	13502	5	6	6	18	5	2	222	110	0	1437	0	614	101	0	0	0	0	0	0	0	619	1	1	0	0	0	0	1	0	0	2	0	0	0	0	627	15	0	6	0	14	812	712	1	1	1	1	0	6	1	263	5451	1	2	0	395	1	1	3	16	4287	0	64	29	836	1	0	282	994	0	0	0	1	0	0	11	0	0	9	1	3	1	2	175	2444	13560	0	174	2167	1	271	341	1	0	5	0	38	0	0	2	2212	2288	50	8	4	1204	4857	123	375	104	345	423	88	5592	3808	4986	145	1	0	1	0	0	0	0	6	44	19	8	58	0	1291	1381	188	262	0	0	131	5	0	22	0	8	708	12883	0	0	2	25	355	7785	1164	9	91	2	1	0	639	1026	0	0	0	66	381	0	4846	0	10	14	0	3	87	0	0	0	0	11	25	0	2	0	1	0	101	874	0	0	6	12	0	0	0	6	0	"Metabolism; Xenobiotics Biodegradation and Metabolism; 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation"
ABC transporters	5678236	1943027	1281340	660744	2505692	3416560	793945	3591532	2312665	2024923	3813666	3961863	3891213	3370427	5122744	4469546	1974657	3022351	2784456	5924626	10078195	4071844	6554242	1880270	1607922	1660966	2962878	3661366	3365828	3809393	26205436	802326	6029320	10435376	6509230	2557963	152818	3066006	808046	3454154	5255007	8960868	2684581	2526896	5410238	3314637	5933261	2556917	5852094	612644	2632657	1950874	3192086	2554544	883509	4370387	3708473	6561393	2554659	1804604	2427119	2478337	1687573	2299055	249403	3364041	2354103	3460711	12312963	5340239	1705512	1643917	1552942	6907843	22326284	51805779	1484826	1755549	13685801	188471036	3514910	1481020	2518274	2206208	1927725	823862	2517216	15094524	2498021	18243032	3051329	10790864	2433152	3530537	1673323	3618415	4642001	3017388	3983069	4885197	5327419	3830837	3139795	5493254	4819420	3433339	4223230	5627603	4304043	2333319	21867267	2643220	289747	2998366	2115216	1134309	2035502	1784997	2123489	1971774	1820496	2234421	2870472	2370047	2467167	2566446	1870071	15987699	7701272	847055	2204173	1061435	1972337	2984136	2476825	1129303	1423797	2195522	1064206	1127168	2670812	444859	4268944	3421214	1406720	40374591	3032874	13730530	4520549	1241327	1121480	3957736	3670067	3500534	4154434	1413487	1468088	14739975	855510	1467227	531650	1293364	2601356	2747969	3681675	2929421	3764695	439137	153122	1806920	1801463	30072436	1291824	6499052	32262481	6610367	1066184	5869652	3700326	1302016	1426857	3018768	9517493	23245376	1936439	2099516	6767155	1920169	700492	2312865	1907139	4129165	2480449	2474305	5576937	5950631	4556014	1343574	34688136	341074	3565638	6168901	2389767	4776017	4151588	11230318	1337661	4588006	4063867	7299020	754442	1210460	15908463	7303721	5071127	2341178	1970986	2603451	2930265	5403161	4927780	4730230	3043279	5220386	2245434	10582489	2146139	7834380	2433704	12146632	9383573	12195538	7085953	3135815	4334695	1264798	1421616	2486490	1572780	2384122	1127832	3414251	1898067	1058861	1326117	1414545	2491469	1873827	66286847	1814667	6140755	8064344	8930505	2582954	3353846	1809873	1216928	1354778	11648865	12493611	2851402	5180762	1749197	1273149	6226947	3971805	3989392	1400367	7019902	4836868	2636553	3333003	78056626	11082091	13878152	1892439	3100080	1773641	1158243	1655450	1839637	1464433	2790014	1126213	1643457	1086944	1736633	14432232	4099901	1942743	1612661	1473907	482808	1214359	1440999	1084599	1059651	24516993	2467937	882166	1946226	1589360	2269593	1747214	2088473	392949	1415006	1060736	2199671	1766369	1555068	3375237	1054795	1598418	5074217	745728	1118467	989044	809949	4183565	450354	2333822	3940613	956303	5760095	2289142	1501158	1362000	1977863	2494836	1556351	2273777	2975415	55485343	954212	726710	2526623	17938677	9681449	3061411	11651490	3700509	1726063	3808463	2993153	6425488	8813909	508149	1580734	5511699	1131915	4058701	1959951	16993703	1910607	2489127	2609891	5941556	3872358	1263541	2153027	1283765	1342965	3453752	2025924	2731865	1810199	3010559	5073494	30565695	2791749	3771077	10450273	1139270	2082802	1752559	4068950	17947747	836589	27788679	3060889	23080728	3578007	2757514	5920190	4808293	5270	1364820	7653441	8939440	10538763	9490018	14702616	2685392	7378008	654037	11335258	5297103	2811372	2022680	2676168	2798898	2562486	1824702	4903898	11729009	376917	1468768	995127	2919556	12511191	12978417	7546466	1104399	524427	1210899	908926	18650648	5085765	4106331	2833469	3919807	8515568	3070086	2828659	3134477	1749074	1741303	3023684	1041623	569523	2090130	2166247	5351630	5482668	4158405	4647884	4541172	4839706	4330693	6069978	23575265	37840601	511024	1097107	55493074	4223176	6604169	8804929	1004681	1666830	2131475	1816265	636157	3067904	2709892	1280547	3837573	769516	4415328	4434345	1052583	1912407	1417131	1280295	2186347	5984431	1605580	3798339	4034265	1895204	3080765	1655681	8533777	7133866	1098294	2153513	4740210	10204881	2487095	4161694	8072104	18780370	824543	15480544	1245628	1409692	871830	16071903	1225180	1818886	20078339	3221171	3172498	13606118	1083021	3845532	7376518	2975131	2803487	1953130	667863	1653382	3435403	3247768	738565	2235058	3261551	1348038	2307426	577681	3005642	306151	800172	2184760	2412388	146052	19133443	1946785	5176659	3459216	1329295	2697213	2384340	3149340	711125	1239725	2568044	3312522	1424956	6636390	20126700	50007779	3461612	24873620	1108202	2711331	12288559	1639273	5970305	4221323	1783724	5937352	188444	3053521	4982087	3771236	10026292	17577664	4354704	19935566	51428	1890120	1295495	1726243	3486963	15579750	4991190	15599535	20093187	2293451	2143290	11021993	855276	889778	20573722	798951	6906550	553086	1201775	524827	4623921	6277102	7659028	11039799	1217875	1312634	3043360	2176990	3036882	7173266	4481973	5561092	1697783	30431751	483369	2461997	616480	2418937	616165	49089815	2537407	6493248	3146082	5082710	528505	2282957	14371182	7688545	2502449	522472	1560131	2314704	2073462	1382590	3202950	2529624	2075433	1635680	746321	5049	36164	1855025	1534805	5801226	171378	1069068	218368	3156617	1336579	111225	3133434	644821	42640	2727575	3001463	7003277	4983	19618	5223	53263	0	Environmental Information Processing; Membrane Transport; ABC transporters
Adherens junction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular Processes; Cell Communication; Adherens junction
