	sequences per sample	iteration	C3.110101	8.031003	2.071703	C11.092001	2.40301	7.051803	7.042002	7.070101	4.020701	7.030803	4.010402	4.011602	4.120403	C14.112902	4.112003	10.120602	2.062501	C11.120501	10.061303	8.111401	3.80403	3.052601	2.021503	8.050603	8.011403	7.112902.06.MC044	3.111301.MC026	7.010201.MC242	3.011101.MC225	C11.112101.MC085	C3.092002.MC079	C3.112902.MC078	C14.110102.MC102	2.051801.MC214	7.021304.MC295	10.100501.MC108	10.110901.MC063	2.081802.MC222	2.110501.MC018	7.100101.MC257	4.052802.MC029	7.081001.MC002	4.041101.MC293	7.111402.MC259	2.022002.06.MC210	3.70501.MC223	8.030605.MC276	8.040303.MC045	4.062101.MC043	8.121401.MC285
alpha_rarefaction_590_2.txt	590	2	54.0	37.0	39.0	50.0	39.0	22.0	28.0	33.0	41.0	23.0	49.0	39.0	43.0	53.0	21.0	42.0	30.0	34.0	21.0	14.0	21.0	16.0	30.0	28.0	24.0	42.0	32.0	20.0	52.0	81.0	61.0	39.0	47.0	22.0	34.0	14.0	21.0	28.0	30.0	64.0	87.0	31.0	60.0	23.0	25.0	10.0	30.0	31.0	53.0	20.0
alpha_rarefaction_590_3.txt	590	3	53.0	39.0	44.0	48.0	31.0	22.0	26.0	34.0	37.0	19.0	48.0	41.0	43.0	42.0	24.0	32.0	32.0	35.0	18.0	10.0	16.0	17.0	33.0	23.0	21.0	42.0	30.0	18.0	52.0	86.0	54.0	44.0	54.0	25.0	40.0	13.0	31.0	26.0	39.0	56.0	82.0	33.0	59.0	21.0	28.0	11.0	25.0	36.0	52.0	21.0
alpha_rarefaction_590_4.txt	590	4	54.0	37.0	40.0	50.0	39.0	19.0	26.0	34.0	36.0	23.0	44.0	34.0	39.0	59.0	22.0	38.0	33.0	33.0	19.0	16.0	16.0	19.0	30.0	26.0	24.0	49.0	28.0	20.0	55.0	84.0	57.0	41.0	55.0	25.0	32.0	11.0	29.0	25.0	31.0	55.0	86.0	33.0	55.0	25.0	25.0	11.0	28.0	32.0	54.0	20.0
alpha_rarefaction_590_5.txt	590	5	52.0	37.0	47.0	51.0	38.0	21.0	28.0	30.0	41.0	17.0	53.0	39.0	34.0	51.0	27.0	37.0	26.0	31.0	19.0	14.0	15.0	14.0	37.0	25.0	28.0	43.0	28.0	15.0	50.0	82.0	62.0	38.0	56.0	23.0	37.0	12.0	29.0	24.0	34.0	54.0	80.0	33.0	59.0	23.0	18.0	9.0	28.0	34.0	53.0	20.0
alpha_rarefaction_590_6.txt	590	6	48.0	37.0	39.0	46.0	30.0	19.0	23.0	33.0	33.0	19.0	46.0	35.0	36.0	47.0	23.0	43.0	35.0	40.0	18.0	13.0	19.0	17.0	32.0	24.0	25.0	38.0	24.0	16.0	52.0	93.0	58.0	39.0	52.0	23.0	34.0	18.0	24.0	24.0	30.0	52.0	76.0	38.0	57.0	26.0	21.0	10.0	27.0	34.0	53.0	17.0
alpha_rarefaction_590_7.txt	590	7	55.0	35.0	41.0	42.0	39.0	22.0	29.0	32.0	37.0	19.0	58.0	42.0	34.0	50.0	26.0	38.0	32.0	36.0	21.0	16.0	22.0	17.0	28.0	27.0	28.0	42.0	32.0	14.0	55.0	90.0	58.0	42.0	56.0	24.0	36.0	13.0	32.0	26.0	30.0	54.0	76.0	39.0	58.0	18.0	31.0	11.0	28.0	36.0	53.0	20.0
alpha_rarefaction_590_8.txt	590	8	58.0	41.0	43.0	45.0	31.0	20.0	27.0	35.0	35.0	23.0	50.0	46.0	37.0	51.0	26.0	44.0	29.0	30.0	17.0	14.0	19.0	18.0	31.0	27.0	24.0	48.0	31.0	18.0	58.0	84.0	57.0	41.0	51.0	22.0	38.0	13.0	24.0	26.0	24.0	48.0	85.0	32.0	61.0	18.0	20.0	13.0	27.0	39.0	50.0	21.0
alpha_rarefaction_590_9.txt	590	9	48.0	36.0	42.0	41.0	34.0	20.0	27.0	34.0	34.0	18.0	56.0	39.0	33.0	49.0	30.0	38.0	27.0	39.0	23.0	13.0	16.0	19.0	31.0	23.0	24.0	44.0	29.0	17.0	45.0	87.0	49.0	40.0	46.0	24.0	33.0	12.0	24.0	27.0	30.0	56.0	85.0	31.0	57.0	25.0	22.0	11.0	29.0	38.0	50.0	18.0
alpha_rarefaction_1170_0.txt	1170	0	65.0	48.0	52.0	71.0	42.0	27.0	29.0	44.0	40.0	24.0	62.0	52.0	58.0	61.0	35.0	47.0	43.0	41.0	25.0	18.0	20.0	24.0	40.0	32.0	30.0	59.0	40.0	21.0	67.0	110.0	63.0	53.0	70.0	33.0	52.0	18.0	36.0	31.0	38.0	70.0	105.0	41.0	71.0	32.0	29.0	14.0	31.0	39.0	76.0	26.0
alpha_rarefaction_1170_1.txt	1170	1	70.0	43.0	54.0	66.0	44.0	28.0	35.0	46.0	49.0	24.0	62.0	52.0	61.0	59.0	37.0	48.0	38.0	46.0	22.0	19.0	22.0	22.0	37.0	34.0	33.0	51.0	36.0	19.0	64.0	115.0	67.0	54.0	66.0	31.0	45.0	20.0	38.0	33.0	43.0	76.0	103.0	43.0	62.0	32.0	35.0	11.0	37.0	37.0	74.0	27.0
