	sequences per sample	iteration	C3.110101	8.031003	2.071703	C11.092001	2.40301	7.051803	7.042002	7.070101	4.020701	7.030803	4.010402	4.011602	4.120403	C14.112902	4.112003	10.120602	2.062501	C11.120501	10.061303	8.111401	3.80403	3.052601	2.021503	8.050603	8.011403	7.112902.06.MC044	3.111301.MC026	7.010201.MC242	3.011101.MC225	C11.112101.MC085	C3.092002.MC079	C3.112902.MC078	C14.110102.MC102	2.051801.MC214	7.021304.MC295	10.100501.MC108	10.110901.MC063	2.081802.MC222	2.110501.MC018	7.100101.MC257	4.052802.MC029	7.081001.MC002	4.041101.MC293	7.111402.MC259	2.022002.06.MC210	3.70501.MC223	8.030605.MC276	8.040303.MC045	4.062101.MC043	8.121401.MC285
alpha_rarefaction_590_0.txt	590	0	8.07219	5.92467	6.35405	6.25084	6.09251	4.58593	5.21077	6.35262	5.64564	4.65197	7.28064	6.91294	6.95152	5.01538	5.15362	4.71007	4.65698	5.51399	4.72823	2.55259	4.00017	3.33167	4.90749	5.73504	5.11531	5.87636	6.60683	4.71957	7.64879	8.95535	8.26701	6.12777	6.21476	3.74985	5.64399	4.96774	5.94908	4.69879	7.01946	7.23125	8.92119	6.0845	7.53685	4.68223	5.2118	3.53135	6.02203	6.06506	6.60075	3.5278
alpha_rarefaction_590_1.txt	590	1	8.56783	5.28741	6.24505	6.72223	6.19059	3.75465	5.09212	6.78066	5.40316	3.63865	6.23075	6.71124	6.05364	4.63526	4.84378	4.51785	5.22855	3.91873	4.85239	2.50896	2.94485	2.73547	4.73528	5.23839	3.71041	6.96802	6.78805	4.05977	7.36018	10.57127	7.97811	6.13033	5.88033	4.46837	6.15213	4.55404	4.46507	4.9656	6.42265	7.20921	7.79449	5.47381	8.48804	5.23376	5.3788	4.52327	5.33851	6.64854	6.52904	4.78603
alpha_rarefaction_590_2.txt	590	2	8.30268	5.47301	5.5655	6.46953	5.37764	4.0346	5.24715	6.6211	5.68832	4.21944	6.08238	6.50534	7.18647	4.52959	4.15843	5.31994	5.16601	5.47513	5.29923	2.01051	4.57762	2.69265	4.42506	5.81414	3.52913	6.60062	7.01408	4.55359	6.95968	8.9529	8.55242	5.55528	5.58844	4.35727	5.57044	4.23262	4.33596	5.22794	5.61729	7.35032	8.84039	5.39388	8.37574	5.06626	5.36059	3.2758	5.88037	6.42027	6.88114	3.9309
alpha_rarefaction_590_3.txt	590	3	7.27459	6.44928	7.46921	6.66133	4.589	4.47251	5.61891	6.43543	5.02916	4.21927	5.83272	6.05356	7.09843	3.92453	4.74694	4.81218	5.08679	5.1389	3.99426	1.96425	3.96886	3.8421	5.01535	4.92652	3.52146	5.28464	6.01631	4.18192	6.84589	10.4966	7.65721	6.36114	6.19927	2.95907	5.52883	4.6883	5.47399	5.08484	6.95145	6.87852	8.59207	5.833	8.16369	5.3029	5.5235	3.53626	5.44216	6.57273	6.8281	4.56538
alpha_rarefaction_590_4.txt	590	4	8.39571	5.66808	6.63067	6.09502	7.49781	3.98784	4.78842	6.10161	5.68253	4.68787	6.5625	6.23275	6.67461	5.1429	5.20318	4.99745	5.21816	4.04072	4.69114	3.37909	3.80039	4.08086	4.74459	5.6697	4.47343	7.4431	6.3169	4.5087	7.21368	9.99362	7.19015	5.91384	5.54983	3.19942	4.63753	4.57645	5.58481	4.84698	6.15978	7.13622	8.66351	6.275	7.48388	5.9687	5.50348	3.18912	5.70736	6.70464	6.9707	3.10462
alpha_rarefaction_590_5.txt	590	5	7.17788	5.52808	7.85581	5.72644	5.56223	4.55968	5.44422	5.62839	5.78437	3.41682	6.82799	6.8761	5.90645	4.60908	5.53847	5.64818	4.29604	4.86977	4.78193	2.5659	3.58132	2.98995	5.6538	5.46691	4.55523	6.60743	6.2508	3.82509	7.08746	10.30956	8.25827	5.63319	6.8475	3.06086	5.95425	4.6128	4.66546	4.94841	6.26073	6.48649	7.84358	5.8625	7.85451	4.64111	4.71417	2.73571	5.7155	6.27254	6.45298	3.95378
alpha_rarefaction_590_6.txt	590	6	7.63996	6.26832	6.85203	5.80148	5.49756	3.79131	4.58017	5.94739	4.98774	3.98286	6.12926	6.68951	6.2007	4.28016	4.19269	7.00531	5.3104	5.70267	4.55527	3.6326	4.50862	3.11531	4.89351	5.18592	4.18449	5.71311	5.63583	4.18932	7.31289	10.72285	8.57228	6.0022	5.97677	3.16772	5.27203	5.46481	5.01007	4.27879	6.13397	6.42918	8.04022	6.92747	7.45954	5.73927	5.1201	3.70349	5.58474	6.6093	6.17333	2.90789
alpha_rarefaction_590_7.txt	590	7	8.29524	5.30511	7.3301	5.45089	6.69063	3.87628	6.43336	6.17192	5.23629	3.92013	7.16635	7.46272	5.85162	4.65236	4.75868	5.43831	5.16049	5.47041	4.94589	2.44633	4.90436	3.19633	4.55796	5.72049	4.8747	7.1286	7.20255	3.96292	7.31071	10.461	8.78091	6.12135	6.12061	3.48829	5.49503	5.11858	5.52664	4.62031	5.54871	6.91388	8.14986	6.92638	8.40395	4.13389	6.00069	3.82081	5.77935	6.54901	6.86435	3.57445
alpha_rarefaction_590_8.txt	590	8	7.87134	5.76112	7.73499	5.92836	5.49073	4.02102	5.14517	6.13627	5.2242	4.2532	6.74389	7.21793	6.9899	4.57362	4.58363	6.09607	4.59904	4.96821	4.39012	3.37682	4.18824	3.35192	4.94777	4.83623	4.74628	6.2789	7.18255	4.89832	8.12416	10.03065	7.19799	6.18337	4.91932	3.64814	5.76334	4.4957	4.07998	4.98606	5.45327	6.02348	8.18276	5.66804	7.56831	2.84007	4.91892	4.48333	5.72034	6.77397	6.97167	4.01297
alpha_rarefaction_590_9.txt	590	9	7.22681	5.83263	5.86401	4.79217	6.24705	3.64181	5.27119	5.95249	4.82419	3.64796	7.18317	7.26234	5.9966	4.41801	5.82255	5.75135	4.1192	6.29447	4.99356	2.41491	3.72353	3.43006	4.80487	5.19795	4.61058	6.47961	6.01214	4.3301	6.83309	9.93094	7.45055	5.89309	6.20229	3.18988	4.81779	4.84171	4.25293	5.09441	6.42367	6.73239	8.64537	5.11578	7.23783	6.3442	4.55715	2.87838	5.88662	6.56373	6.23376	2.97652
