	sequences per sample	iteration	C3.110101	8.031003	2.071703	C11.092001	2.40301	7.051803	7.042002	7.070101	4.020701	7.030803	4.010402	4.011602	4.120403	C14.112902	4.112003	10.120602	2.062501	C11.120501	10.061303	8.111401	3.80403	3.052601	2.021503	8.050603	8.011403	7.112902.06.MC044	3.111301.MC026	7.010201.MC242	3.011101.MC225	C11.112101.MC085	C3.092002.MC079	C3.112902.MC078	C14.110102.MC102	2.051801.MC214	7.021304.MC295	10.100501.MC108	10.110901.MC063	2.081802.MC222	2.110501.MC018	7.100101.MC257	4.052802.MC029	7.081001.MC002	4.041101.MC293	7.111402.MC259	2.022002.06.MC210	3.70501.MC223	8.030605.MC276	8.040303.MC045	4.062101.MC043	8.121401.MC285
alpha_rarefaction_1750_3.txt	1750	3	108.111111111	60.1428571429	75.0	102.25	88.0	38.0	50.4285714286	92.0	84.875	96.0	91.2727272727	63.5	87.0	98.3	63.375	57.2307692308	54.8	52.875	39.0	38.0	33.5	29.0	54.0	60.0	44.25	78.0	54.6666666667	56.3333333333	90.0	176.045454545	104.230769231	68.125	108.0	43.875	92.5	27.2	65.0	47.1111111111	63.3333333333	103.0	125.8	56.1	103.461538462	55.0	68.1	37.0	45.2	43.0	99.2142857143	35.0
alpha_rarefaction_1750_4.txt	1750	4	92.2	62.0	71.125	99.0	87.0	45.75	38.0	61.6666666667	65.6	44.0	96.6666666667	67.5	80.8	100.0	75.875	74.0	79.0	68.0	47.3333333333	32.0	27.2	26.0	45.0	45.1111111111	55.5	101.111111111	66.0	43.0	88.5454545455	187.0	99.0909090909	82.2	98.7894736842	54.5	71.0	37.0	61.0	50.1428571429	89.3333333333	98.0909090909	136.625	59.6666666667	92.1111111111	53.5	42.2307692308	15.5	44.2	66.5	132.6	47.3333333333
alpha_rarefaction_1750_5.txt	1750	5	91.875	53.5	118.2	84.0588235294	69.8571428571	36.0	52.0	65.0	69.1	51.5	86.1	65.2727272727	83.6666666667	83.5454545455	66.4285714286	81.2	43.1	52.0	27.6666666667	24.2	31.2	23.5	54.0	51.4285714286	39.0	99.0	58.0	45.3333333333	81.5	200.352941176	84.4761904762	72.3636363636	126.090909091	57.1428571429	74.1111111111	37.0	50.0	44.625	68.5454545455	97.4285714286	159.0	58.1	107.0	43.8571428571	59.0	36.0	35.5	55.0	119.909090909	29.5
alpha_rarefaction_1750_6.txt	1750	6	106.647058824	61.1428571429	68.5	112.833333333	76.0	39.0	61.1428571429	58.0	73.5714285714	32.2	91.25	84.4285714286	102.1	102.625	55.3333333333	69.6	85.0	70.4285714286	31.0	50.0	31.0	27.75	54.4285714286	42.5	43.0	77.5454545455	54.1	45.6	118.5	161.115384615	93.1764705882	90.6666666667	105.071428571	55.5	88.0	30.1428571429	59.0	43.0	102.428571429	86.9285714286	133.625	50.625	95.125	38.0	61.125	21.0	51.0	49.25	100.0	31.6666666667
alpha_rarefaction_1750_7.txt	1750	7	108.666666667	70.1428571429	72.0	92.4	64.0	32.6	91.0	73.25	76.1111111111	28.75	102.666666667	76.0	74.4	116.75	58.1428571429	78.0	49.625	52.0	31.25	25.6666666667	39.0	59.0	47.625	55.375	38.0	106.0	64.4285714286	30.6	97.0	203.5	125.545454545	64.3333333333	157.0	52.375	76.1111111111	30.0	55.125	39.5	77.1428571429	85.6	136.235294118	52.875	119.5	44.0	56.9090909091	24.0	42.3333333333	53.0	121.0	32.0
alpha_rarefaction_1750_8.txt	1750	8	110.272727273	61.375	72.0	102.066666667	64.9090909091	58.25	59.0	61.375	64.5	33.0	93.5	72.9090909091	132.5	101.214285714	93.0	61.2	51.0	48.2727272727	33.0	24.5	33.0	27.5	45.25	62.0	37.0	101.5	73.2	34.8571428571	86.6	160.538461538	91.6666666667	64.375	107.2	53.1666666667	65.75	34.1666666667	49.1	45.0	83.0	113.545454545	143.833333333	52.0	95.4285714286	51.1666666667	61.1111111111	21.0	51.0	43.3333333333	109.545454545	31.0
alpha_rarefaction_1750_9.txt	1750	9	99.0	56.875	72.6	87.875	79.1428571429	38.0	65.25	57.3333333333	66.0	37.3333333333	86.6153846154	75.6	95.3333333333	102.272727273	49.5	71.0	61.0	48.8	39.25	50.0	42.75	31.0	51.8571428571	45.875	56.0	96.6666666667	65.0	57.0	91.25	151.956521739	88.3	64.6666666667	129.6	55.1428571429	75.0714285714	35.1666666667	54.0	60.5	57.1428571429	116.5	147.058823529	52.8571428571	117.333333333	46.75	99.75	32.0	61.75	62.0	150.6	47.3333333333
alpha_rarefaction_2330_0.txt	2330	0	126.363636364	69.125	96.0	82.0	94.5	47.2	53.1428571429	67.0	88.0	42.0	97.25	69.0769230769	93.0	90.5	71.0	65.0909090909	53.8571428571	68.0	32.2	30.2	31.0	25.8571428571	52.625	46.1428571429	44.0	95.4	65.75	73.25	84.5454545455	187.357142857	105.0	70.5	143.583333333	43.2	82.0	28.6666666667	66.125	46.5	82.875	98.5454545455	151.230769231	58.6666666667	103.272727273	43.2	62.8333333333	28.3333333333	40.5	45.5	105.105263158	42.3333333333
alpha_rarefaction_2330_1.txt	2330	1	118.076923077	63.1	72.1111111111	100.055555556	95.1428571429	49.5	58.0	106.6	80.5	33.6	106.0	65.5	111.8	84.2	65.0	80.0	45.625	66.0	27.2	21.5	45.5	27.4285714286	54.1666666667	63.1428571429	58.5	109.0625	69.4285714286	36.5	104.083333333	173.476190476	101.5	88.0	111.588235294	46.1111111111	67.4615384615	64.0	56.5	44.6666666667	57.4	118.0	150.0	51.0909090909	146.5	37.4285714286	71.1	21.3333333333	43.5	46.0	239.75	65.3333333333
alpha_rarefaction_2330_2.txt	2330	2	115.882352941	60.875	75.125	123.769230769	87.875	57.0	67.1	67.0	122.0	37.0	117.363636364	67.6	78.4	98.8	55.1111111111	77.5454545455	62.5	49.75	37.0	35.0	31.25	31.0	50.625	68.0	51.2	101.0	103.5	62.2	108.076923077	201.333333333	96.5625	60.0	123.214285714	55.1666666667	90.0	39.25	48.8571428571	42.0	108.5	105.0	147.0	54.0909090909	101.1	56.3333333333	62.5454545455	27.3333333333	63.75	48.0	151.333333333	34.6
